Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 18","Pitt Meadows",61,49,1,86,7,0,204,370
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 19","Pitt Meadows",85,32,1,70,13,0,201,448
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 20","Pitt Meadows",57,66,2,91,15,0,231,489
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 21","Pitt Meadows",52,51,3,88,7,0,201,406
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 22","Pitt Meadows",61,72,0,80,10,1,224,456
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 23","Pitt Meadows",72,97,3,83,13,0,268,470
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 24","Pitt Meadows",104,52,3,75,11,0,245,473
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 25","Pitt Meadows",61,97,1,101,15,1,276,441
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 26A","Pitt Meadows",53,41,3,62,3,0,162,319
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 26B","Pitt Meadows",38,31,1,71,3,0,144,309
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 27","Pitt Meadows",74,82,2,81,12,1,252,444
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 28","Pitt Meadows",68,81,5,83,6,0,243,419
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 29","Pitt Meadows",69,63,3,93,5,0,233,441
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 30","Pitt Meadows",70,80,0,79,5,0,234,391
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 31","Pitt Meadows",97,89,0,98,8,0,292,455
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 32","Pitt Meadows",77,65,1,76,7,2,228,363
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 33","Pitt Meadows",58,71,2,67,7,0,205,345
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 34","Pitt Meadows",108,62,1,82,7,0,260,488
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 35","Pitt Meadows",64,69,0,75,9,0,217,387
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 36","Pitt Meadows",74,38,1,56,6,0,175,352
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 37","Pitt Meadows",88,66,5,93,8,0,260,441
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 38","Pitt Meadows",68,62,4,71,9,1,215,394
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 39","Pitt Meadows",85,67,1,87,13,0,253,371
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 40","Pitt Meadows",68,73,0,91,13,0,245,396
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 41","Pitt Meadows",69,49,3,82,3,0,206,422
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 42","Pitt Meadows",58,60,0,62,5,2,187,354
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 43","Pitt Meadows",81,85,6,118,7,0,297,469
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 44","Pitt Meadows",61,101,1,94,0,0,257,438
