Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Diane Bubanko,Erin Davis,Wendell Fields,Bob Mann,Wayne Marston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 115","Stoney Creek",77,53,3,1,0,76,1,211,437
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 116","Stoney Creek",108,67,5,0,0,83,1,264,430
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 117","Stoney Creek",48,41,9,0,0,59,0,157,271
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 118","Stoney Creek",46,52,7,0,0,68,0,173,322
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 119","Stoney Creek",41,61,10,0,0,80,2,194,425
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 120","Hamilton ",110,35,3,0,1,80,4,233,499
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 121","Hamilton ",72,33,8,0,1,88,0,202,425
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 122","Hamilton ",59,37,5,0,0,47,2,150,286
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 123","Hamilton ",80,31,3,0,0,55,1,170,313
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 124","Hamilton ",72,34,3,0,1,42,1,153,399
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 125","Hamilton ",65,8,2,0,1,31,2,109,298
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 126","Hamilton ",89,18,6,0,1,52,2,168,364
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 127","Hamilton ",63,15,4,1,4,64,2,153,394
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 128","Stoney Creek",40,15,2,0,0,38,1,96,431
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 129","Stoney Creek",85,88,7,1,0,86,2,269,465
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 130","Stoney Creek",90,72,8,0,0,101,0,271,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 131","Stoney Creek",91,84,6,0,1,72,0,254,403
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 132","Stoney Creek",62,64,4,1,2,69,0,202,374
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 133","Stoney Creek",54,70,5,1,1,71,0,202,426
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 134","Stoney Creek",81,56,3,0,0,97,0,237,435
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 135","Stoney Creek",84,69,6,1,0,95,1,256,481
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 136","Stoney Creek",82,79,6,2,0,72,0,241,378
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 137","Hamilton ",94,40,3,1,2,68,4,212,437
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 138","Hamilton ",101,32,4,1,1,107,1,247,446
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 139","Stoney Creek",118,51,6,1,0,95,3,274,459
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 140","Hamilton ",136,55,2,0,1,65,0,259,423
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 141","Hamilton ",79,44,2,0,1,25,1,152,279
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 142","Hamilton ",135,66,7,1,0,52,1,262,452
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 143","Hamilton ",115,54,5,0,2,33,1,210,340
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 144","Hamilton ",96,50,2,0,1,26,0,175,347
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 145","Hamilton ",78,42,5,0,3,68,0,196,416
