Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aline Bégin,Benoit Fortin,Pascal Le Fou Gélinas,Christine Moore,Yvon Moreau,Claude Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 215","Ville-Marie",0,7,1,49,10,29,1,97,267
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 216","Ville-Marie",1,2,0,44,25,30,2,104,281
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 217","Ville-Marie",2,4,1,88,35,52,4,186,364
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 218","Duhamel-Ouest",4,13,1,92,27,68,2,207,393
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 219","Lorrainville",3,2,0,117,30,49,0,201,354
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 220","Lorrainville",6,6,0,88,43,41,2,186,325
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221","Lorrainville",2,9,0,83,23,42,3,162,335
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 222","Saint-Placide-de-Béarn",3,8,3,75,25,38,0,152,284
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 223","Saint-Placide-de-Béarn",2,7,0,111,17,39,3,179,325
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 224","Saint-Édouard-de-Fabre",1,5,0,66,21,30,3,126,252
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 225","Saint-Édouard-de-Fabre",3,7,1,61,24,39,0,135,261
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 226","Laniel",1,9,0,11,5,20,0,46,68
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 227","Témiscaming",8,20,0,86,27,62,1,204,433
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228","Témiscaming",3,18,0,42,6,82,2,153,311
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229","Témiscaming",2,6,0,42,6,79,0,135,304
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 230","Témiscaming",1,8,0,35,6,60,0,110,312
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 231","Témiscaming",1,9,0,40,5,50,0,105,285
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 232","Témiscaming",0,6,0,43,7,44,0,100,293
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 233","Tee Lake",3,24,2,54,4,86,2,175,350
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 234","Kipawa",2,6,1,106,0,111,0,226,326
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 400","La Sarre",5,11,1,63,12,67,2,161,190
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 401","Amos",4,15,4,49,16,85,0,173,206
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 402","Rouyn-Noranda",Void/Supprimé,,,,,,,,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 403","Rouyn-Noranda",4,14,0,46,30,111,6,211,266
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 404","Rouyn-Noranda",0,0,0,18,4,14,0,36,41
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500A","Mobile poll/Bureau itinérant",0,8,0,8,1,13,0,30,58
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,37
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 501","Mobile poll/Bureau itinérant",1,5,0,14,3,15,2,40,95
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502A","Mobile poll/Bureau itinérant",1,4,3,26,13,17,3,67,84
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,26
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 503","Mobile poll/Bureau itinérant",0,6,2,19,22,30,3,82,159
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 504","Mobile poll/Bureau itinérant",3,10,0,33,11,79,2,138,169
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 505","Mobile poll/Bureau itinérant",3,5,0,18,7,28,2,63,73
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 506","Mobile poll/Bureau itinérant",1,6,0,14,9,20,0,50,88
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 507","Mobile poll/Bureau itinérant",1,3,0,18,10,27,4,63,158
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 508","Mobile poll/Bureau itinérant",2,7,0,16,6,29,0,60,95
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 509","Mobile poll/Bureau itinérant",0,3,0,7,4,30,3,47,39
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 510A","Mobile poll/Bureau itinérant",0,2,1,14,8,26,2,53,123
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 510B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,,24
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 600","La Sarre",10,55,2,255,71,80,4,477,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 601","La Sarre",13,58,2,304,80,111,6,574,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 602","Duparquet",2,5,0,101,31,49,1,189,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 603","Macamic",7,32,2,159,47,65,2,314,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 604","Villemontel",0,3,0,46,23,18,0,90,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 605","Preissac",4,35,2,97,44,62,2,246,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 606","Amos",11,73,3,266,106,163,4,626,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 607","Amos",13,53,1,225,92,149,8,541,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 608","Amos",6,25,2,126,55,70,7,291,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 609","Barraute",1,14,0,68,38,33,6,160,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 610","Rouyn-Noranda",6,23,5,202,89,113,1,439,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 611","Rouyn-Noranda",7,44,3,205,105,186,6,556,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 612","Rouyn-Noranda",5,30,2,211,84,145,1,478,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 613","Rouyn-Noranda",11,51,6,290,102,245,6,711,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 614","Rouyn-Noranda",7,54,2,285,115,222,8,693,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 615","Rouyn-Noranda",7,19,2,99,55,55,5,242,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 616","Notre-Dame-du-Nord",2,28,0,78,13,67,0,188,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 617","Latulipe",1,11,0,54,13,11,1,91,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 618","Témiscaming",6,47,1,141,28,181,0,404,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 619","Ville-Marie",14,33,2,237,71,161,8,526,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,"Group 1/Groupe 1",5,21,2,19,5,39,11,102,67
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,"Group 2/Groupe 2",45,184,14,1154,408,586,45,2436,
