Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pamela Leslie Bryan,Alexander Dussault,Karen Leibovici,Heather MacKenzie,Kelly McCauley,Peggy Morton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton West/Edmonton-Ouest"," 83","Edmonton",1,0,88,19,83,0,0,191,342
48020,"Edmonton West/Edmonton-Ouest"," 84","Edmonton",7,2,56,24,119,0,0,208,320
48020,"Edmonton West/Edmonton-Ouest"," 85","Edmonton",8,2,88,39,77,1,1,216,334
48020,"Edmonton West/Edmonton-Ouest"," 86","Edmonton",10,1,135,31,120,1,4,302,444
48020,"Edmonton West/Edmonton-Ouest"," 87","Edmonton",6,0,83,59,93,1,1,243,491
48020,"Edmonton West/Edmonton-Ouest"," 88","Edmonton",12,0,107,43,118,0,0,280,419
48020,"Edmonton West/Edmonton-Ouest"," 89","Edmonton",5,4,81,48,100,1,2,241,425
48020,"Edmonton West/Edmonton-Ouest"," 90","Edmonton",5,1,108,54,146,3,1,318,524
48020,"Edmonton West/Edmonton-Ouest"," 91","Edmonton",5,2,52,17,78,0,1,155,308
48020,"Edmonton West/Edmonton-Ouest"," 92","Edmonton",1,0,63,22,110,0,0,196,376
48020,"Edmonton West/Edmonton-Ouest"," 93","Edmonton",8,3,99,31,77,0,0,218,397
48020,"Edmonton West/Edmonton-Ouest"," 94","Edmonton",6,1,43,32,64,2,0,148,295
48020,"Edmonton West/Edmonton-Ouest"," 95","Edmonton",3,1,84,26,91,0,1,206,346
48020,"Edmonton West/Edmonton-Ouest"," 96","Edmonton",1,1,89,42,94,0,0,227,456
48020,"Edmonton West/Edmonton-Ouest"," 96-1","Edmonton",6,7,77,42,87,0,1,220,404
48020,"Edmonton West/Edmonton-Ouest"," 97","Edmonton",5,1,85,33,75,0,0,199,388
48020,"Edmonton West/Edmonton-Ouest"," 98","Edmonton",4,3,107,27,86,1,0,228,406
48020,"Edmonton West/Edmonton-Ouest"," 99","Edmonton",4,1,81,39,107,1,0,233,420
48020,"Edmonton West/Edmonton-Ouest"," 100","Edmonton",4,3,64,19,67,0,0,157,343
48020,"Edmonton West/Edmonton-Ouest"," 101","Edmonton",2,1,81,22,162,0,1,269,474
48020,"Edmonton West/Edmonton-Ouest"," 102","Edmonton",3,0,67,17,79,0,1,167,365
48020,"Edmonton West/Edmonton-Ouest"," 103","Edmonton",3,4,116,31,119,0,0,273,517
48020,"Edmonton West/Edmonton-Ouest"," 104","Edmonton",4,0,83,23,152,0,2,264,545
48020,"Edmonton West/Edmonton-Ouest"," 105","Edmonton",4,2,92,40,138,2,0,278,512
48020,"Edmonton West/Edmonton-Ouest"," 106","Edmonton",5,2,67,20,78,0,2,174,382
48020,"Edmonton West/Edmonton-Ouest"," 107","Edmonton",0,2,67,20,122,0,1,212,440
48020,"Edmonton West/Edmonton-Ouest"," 108","Edmonton",1,3,83,30,121,0,1,239,382
48020,"Edmonton West/Edmonton-Ouest"," 109","Edmonton",5,0,87,28,110,0,1,231,423
48020,"Edmonton West/Edmonton-Ouest"," 110","Edmonton",9,1,64,39,90,1,1,205,337
48020,"Edmonton West/Edmonton-Ouest"," 111","Edmonton",4,2,98,33,100,0,1,238,387
48020,"Edmonton West/Edmonton-Ouest"," 112","Edmonton",0,3,70,22,72,0,0,167,348
48020,"Edmonton West/Edmonton-Ouest"," 113","Edmonton",3,2,79,33,115,0,1,233,379
48020,"Edmonton West/Edmonton-Ouest"," 114","Edmonton",4,2,46,26,84,0,1,163,348
48020,"Edmonton West/Edmonton-Ouest"," 115","Edmonton",2,0,85,16,125,0,0,228,398
48020,"Edmonton West/Edmonton-Ouest"," 116","Edmonton",0,4,119,23,123,0,0,269,431
48020,"Edmonton West/Edmonton-Ouest"," 117","Edmonton",1,0,91,35,137,0,0,264,504
48020,"Edmonton West/Edmonton-Ouest"," 118","Edmonton",3,0,81,23,105,2,1,215,369
48020,"Edmonton West/Edmonton-Ouest"," 119","Edmonton",9,0,111,75,83,1,0,279,541
48020,"Edmonton West/Edmonton-Ouest"," 120","Edmonton",5,2,99,53,72,1,2,234,542
48020,"Edmonton West/Edmonton-Ouest"," 121","Edmonton",4,1,113,23,129,2,0,272,449
48020,"Edmonton West/Edmonton-Ouest"," 122","Edmonton",4,1,102,35,132,0,1,275,505
48020,"Edmonton West/Edmonton-Ouest"," 123","Edmonton",7,0,102,33,154,0,1,297,523
48020,"Edmonton West/Edmonton-Ouest"," 124","Edmonton",11,4,98,32,115,0,0,260,444
48020,"Edmonton West/Edmonton-Ouest"," 125","Edmonton",6,1,85,21,123,0,0,236,415
48020,"Edmonton West/Edmonton-Ouest"," 126","Edmonton",6,4,53,20,38,2,1,124,413
48020,"Edmonton West/Edmonton-Ouest"," 127","Edmonton",4,3,88,32,78,1,1,207,428
48020,"Edmonton West/Edmonton-Ouest"," 128","Edmonton",2,2,76,30,48,0,4,162,437
48020,"Edmonton West/Edmonton-Ouest"," 129","Edmonton",5,4,78,15,42,0,0,144,409
48020,"Edmonton West/Edmonton-Ouest"," 130","Edmonton",1,0,44,27,70,1,1,144,314
48020,"Edmonton West/Edmonton-Ouest"," 131","Edmonton",2,0,44,28,36,0,1,111,257
48020,"Edmonton West/Edmonton-Ouest"," 132","Edmonton",3,1,42,16,54,0,0,116,291
48020,"Edmonton West/Edmonton-Ouest"," 133","Edmonton",1,1,67,21,55,0,0,145,378
48020,"Edmonton West/Edmonton-Ouest"," 134","Edmonton",3,0,69,30,82,0,0,184,387
48020,"Edmonton West/Edmonton-Ouest"," 135","Edmonton",9,2,98,56,84,2,2,253,533
48020,"Edmonton West/Edmonton-Ouest"," 136","Edmonton",5,3,128,44,122,0,0,302,518
48020,"Edmonton West/Edmonton-Ouest"," 137","Edmonton",4,3,78,13,103,0,0,201,375
48020,"Edmonton West/Edmonton-Ouest"," 138","Edmonton",3,3,106,29,150,3,1,295,470
48020,"Edmonton West/Edmonton-Ouest"," 139","Edmonton",3,0,91,25,176,1,1,297,511
48020,"Edmonton West/Edmonton-Ouest"," 140","Edmonton",0,1,81,10,136,0,0,228,478
48020,"Edmonton West/Edmonton-Ouest"," 141","Edmonton",3,3,64,7,119,0,0,196,392
48020,"Edmonton West/Edmonton-Ouest"," 142","Edmonton",4,0,87,20,125,1,0,237,442
48020,"Edmonton West/Edmonton-Ouest"," 143","Edmonton",0,1,78,6,82,0,0,167,282
