Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Barry,Richard Biggar,Trevor Bruhm,Richard Clark,Alex Godbold,Bernadette Jordan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 601","Hubley",1,14,5,156,153,536,1,866,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 602","Hatchet Lake",0,25,5,122,105,377,1,635,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 603","Indian Harbour",1,22,0,84,93,250,2,452,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 604","Hubbards",1,8,1,85,59,220,1,375,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 605","Chester",0,29,1,200,144,394,3,771,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 606","New Ross",1,6,2,113,21,78,1,222,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 607","Mahone Bay",0,12,3,98,112,286,3,514,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 608","Lunenburg",3,35,0,124,177,437,4,780,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 609","Dayspring",0,7,0,47,42,127,2,225,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 610","New Germany",1,13,0,95,64,195,2,370,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 611","Bakers Settlement",0,4,4,82,51,177,1,319,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 612","Bridgewater",0,11,5,151,146,446,4,763,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 613","Lake Centre--New Cumberland",0,11,2,54,77,240,0,384,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 614","Middlewood",0,7,1,60,60,139,0,267,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 615","Queens",0,4,1,35,35,72,1,148,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 616","Liverpool",1,10,5,148,126,331,7,628,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 617","Sable River",1,5,3,78,40,117,1,245,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 618","Shelburne",2,7,0,110,37,175,1,332,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 619","Port Clyde",1,4,0,54,25,113,0,197,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 620","Shag Harbour",0,4,1,181,23,203,1,413,
12009,"South Shore--St. Margarets/South Shore--St. Margarets",,"Group 1/Groupe 1",2,8,0,68,38,112,6,234,110
12009,"South Shore--St. Margarets/South Shore--St. Margarets",,"Group 2/Groupe 2",3,83,3,497,667,1331,29,2613,
