Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Brian Fleck,Matt Jeneroux,Valerie Kennedy,Steven Lack,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 123","Edmonton",57,39,84,5,2,0,187,375
48018,"Edmonton Riverbend/Edmonton Riverbend"," 124","Edmonton",115,32,77,2,5,0,231,416
48018,"Edmonton Riverbend/Edmonton Riverbend"," 125","Edmonton",71,52,83,2,2,0,210,431
48018,"Edmonton Riverbend/Edmonton Riverbend"," 126","Edmonton",73,31,55,3,2,3,167,289
48018,"Edmonton Riverbend/Edmonton Riverbend"," 127","Edmonton",80,36,106,6,2,0,230,351
48018,"Edmonton Riverbend/Edmonton Riverbend"," 128","Edmonton",80,43,88,4,3,0,218,368
48018,"Edmonton Riverbend/Edmonton Riverbend"," 129","Edmonton",41,18,62,3,1,0,125,262
48018,"Edmonton Riverbend/Edmonton Riverbend"," 130","Edmonton",97,64,127,5,2,0,295,571
48018,"Edmonton Riverbend/Edmonton Riverbend"," 131","Edmonton",78,27,132,4,1,1,243,485
48018,"Edmonton Riverbend/Edmonton Riverbend"," 132","Edmonton",91,62,159,7,4,3,326,611
48018,"Edmonton Riverbend/Edmonton Riverbend"," 133","Edmonton",55,37,67,4,2,1,166,354
48018,"Edmonton Riverbend/Edmonton Riverbend"," 134","Edmonton",57,35,58,8,3,0,161,394
48018,"Edmonton Riverbend/Edmonton Riverbend"," 135","Edmonton",67,48,114,4,0,1,234,409
48018,"Edmonton Riverbend/Edmonton Riverbend"," 136","Edmonton",33,37,144,1,2,0,217,346
48018,"Edmonton Riverbend/Edmonton Riverbend"," 137","Edmonton",73,63,105,14,1,2,258,445
48018,"Edmonton Riverbend/Edmonton Riverbend"," 138","Edmonton",77,70,108,11,1,0,267,429
48018,"Edmonton Riverbend/Edmonton Riverbend"," 139","Edmonton",72,37,116,6,0,0,231,415
48018,"Edmonton Riverbend/Edmonton Riverbend"," 140","Edmonton",86,46,110,8,3,1,254,455
48018,"Edmonton Riverbend/Edmonton Riverbend"," 141","Edmonton",81,35,120,4,3,0,243,391
48018,"Edmonton Riverbend/Edmonton Riverbend"," 142","Edmonton",79,52,149,7,2,0,289,478
48018,"Edmonton Riverbend/Edmonton Riverbend"," 143","Edmonton",89,43,159,14,0,0,305,547
48018,"Edmonton Riverbend/Edmonton Riverbend"," 144","Edmonton",75,45,140,6,1,1,268,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 145","Edmonton",59,20,159,2,0,2,242,411
48018,"Edmonton Riverbend/Edmonton Riverbend"," 146","Edmonton",90,30,149,3,1,0,273,455
48018,"Edmonton Riverbend/Edmonton Riverbend"," 147","Edmonton",92,40,146,2,1,0,281,493
48018,"Edmonton Riverbend/Edmonton Riverbend"," 148","Edmonton",79,32,137,6,0,2,256,434
48018,"Edmonton Riverbend/Edmonton Riverbend"," 149","Edmonton",103,32,154,8,3,0,300,506
48018,"Edmonton Riverbend/Edmonton Riverbend"," 150","Edmonton",72,31,144,6,1,0,254,460
48018,"Edmonton Riverbend/Edmonton Riverbend"," 151","Edmonton",84,41,123,3,0,0,251,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 152","Edmonton",80,25,143,3,1,0,252,421
48018,"Edmonton Riverbend/Edmonton Riverbend"," 153","Edmonton",93,30,127,1,0,1,252,458
48018,"Edmonton Riverbend/Edmonton Riverbend"," 154","Edmonton",90,33,115,4,2,0,244,429
48018,"Edmonton Riverbend/Edmonton Riverbend"," 155","Edmonton",69,36,134,8,3,0,250,432
48018,"Edmonton Riverbend/Edmonton Riverbend"," 156","Edmonton",75,32,98,1,1,2,209,452
48018,"Edmonton Riverbend/Edmonton Riverbend"," 157","Edmonton",87,30,114,3,4,3,241,436
48018,"Edmonton Riverbend/Edmonton Riverbend"," 158","Edmonton",64,33,96,3,0,1,197,407
48018,"Edmonton Riverbend/Edmonton Riverbend"," 159","Edmonton",126,56,102,4,3,2,293,532
48018,"Edmonton Riverbend/Edmonton Riverbend"," 160","Edmonton",92,21,136,2,2,4,257,466
48018,"Edmonton Riverbend/Edmonton Riverbend"," 161","Edmonton",85,40,124,7,3,0,259,530
48018,"Edmonton Riverbend/Edmonton Riverbend"," 162","Edmonton",77,27,112,2,2,1,221,491
48018,"Edmonton Riverbend/Edmonton Riverbend"," 163","Edmonton",64,35,179,4,4,1,287,498
48018,"Edmonton Riverbend/Edmonton Riverbend"," 164","Edmonton",74,32,141,6,0,0,253,455
48018,"Edmonton Riverbend/Edmonton Riverbend"," 165","Edmonton",85,27,137,7,1,0,257,459
48018,"Edmonton Riverbend/Edmonton Riverbend"," 166","Edmonton",67,26,120,2,0,2,217,410
48018,"Edmonton Riverbend/Edmonton Riverbend"," 167","Edmonton",110,42,108,2,2,6,270,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 168","Edmonton",99,50,124,13,2,2,290,584
48018,"Edmonton Riverbend/Edmonton Riverbend"," 169","Edmonton",63,42,99,12,3,0,219,442
48018,"Edmonton Riverbend/Edmonton Riverbend"," 170","Edmonton",71,28,111,2,0,1,213,384
48018,"Edmonton Riverbend/Edmonton Riverbend"," 171","Edmonton",49,42,105,2,2,1,201,408
48018,"Edmonton Riverbend/Edmonton Riverbend"," 172","Edmonton",47,32,106,1,5,1,192,336
48018,"Edmonton Riverbend/Edmonton Riverbend"," 173","Edmonton",98,46,97,2,0,1,244,464
48018,"Edmonton Riverbend/Edmonton Riverbend"," 174","Edmonton",84,24,86,5,0,0,199,400
48018,"Edmonton Riverbend/Edmonton Riverbend"," 175A","Edmonton",63,33,88,2,4,0,190,418
48018,"Edmonton Riverbend/Edmonton Riverbend"," 175B","Edmonton",76,37,86,7,1,0,207,437
48018,"Edmonton Riverbend/Edmonton Riverbend"," 176","Edmonton",36,16,83,1,1,0,137,301
48018,"Edmonton Riverbend/Edmonton Riverbend"," 177","Edmonton",56,29,94,2,0,1,182,400
48018,"Edmonton Riverbend/Edmonton Riverbend"," 400","Edmonton",39,7,63,3,0,0,112,224
48018,"Edmonton Riverbend/Edmonton Riverbend"," 401","Edmonton",30,6,26,2,1,0,65,191
48018,"Edmonton Riverbend/Edmonton Riverbend"," 402","Edmonton",28,10,80,3,0,1,122,183
48018,"Edmonton Riverbend/Edmonton Riverbend"," 500","Mobile poll/Bureau itinérant",61,36,135,20,2,7,261,314
48018,"Edmonton Riverbend/Edmonton Riverbend"," 501","Mobile poll/Bureau itinérant",54,23,136,11,4,1,229,139
48018,"Edmonton Riverbend/Edmonton Riverbend"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,187
48018,"Edmonton Riverbend/Edmonton Riverbend"," 503A","Mobile poll/Bureau itinérant",29,16,65,9,5,2,126,97
48018,"Edmonton Riverbend/Edmonton Riverbend"," 503B","Mobile poll/Bureau itinérant",26,15,29,4,1,0,75,66
48018,"Edmonton Riverbend/Edmonton Riverbend"," 503C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503B,,,,,,,25
48018,"Edmonton Riverbend/Edmonton Riverbend"," 600","Edmonton",247,243,457,27,4,1,979,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 601","Edmonton",299,184,693,13,1,0,1190,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 602","Edmonton",242,142,504,21,2,2,913,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 603","Edmonton",176,214,329,15,7,0,741,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 604","Edmonton",171,148,276,15,4,1,615,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 605","Edmonton",176,146,245,15,7,0,589,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 606","Edmonton",186,117,464,15,5,0,787,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 607","Edmonton",386,182,851,13,7,3,1442,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 608","Edmonton",322,143,463,16,3,1,948,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 609","Edmonton",314,224,435,16,3,6,998,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 610","Edmonton",414,227,969,24,7,3,1644,
48018,"Edmonton Riverbend/Edmonton Riverbend"," 611","Edmonton",220,118,434,16,4,2,794,
48018,"Edmonton Riverbend/Edmonton Riverbend",,"Group 1/Groupe 1",34,34,28,2,1,13,112,108
48018,"Edmonton Riverbend/Edmonton Riverbend",,"Group 2/Groupe 2",481,490,726,52,12,20,1781,
