Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Serge Brisson,Francis Drouin,Normand Laurin,Pierre Lemieux,Genevieve Malouin-Diraddo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 221","Felton",1,74,9,65,7,0,156,265
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 222","Apple Hill",3,148,27,173,8,3,362,598
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 500","Mobile poll/Bureau itinérant",2,64,4,36,0,5,111,199
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 501","Mobile poll/Bureau itinérant",6,29,3,20,1,1,60,131
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 502","Mobile poll/Bureau itinérant",0,65,2,26,1,2,96,132
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 503","Mobile poll/Bureau itinérant",2,61,6,15,0,4,88,123
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 504","Mobile poll/Bureau itinérant",7,46,6,15,1,0,75,130
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 505","Mobile poll/Bureau itinérant",0,91,3,29,2,2,127,154
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 506","Mobile poll/Bureau itinérant",4,60,5,57,0,0,126,114
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 507","Mobile poll/Bureau itinérant",3,32,0,26,3,2,66,114
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 508","Mobile poll/Bureau itinérant",0,28,5,46,3,1,83,148
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 509","Mobile poll/Bureau itinérant",2,46,10,26,3,4,91,99
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 510","Mobile poll/Bureau itinérant",1,36,2,25,1,1,66,172
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 511","Mobile poll/Bureau itinérant",4,48,7,29,2,4,94,144
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 512","Mobile poll/Bureau itinérant",2,55,2,9,0,2,70,129
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 513","Mobile poll/Bureau itinérant",0,88,1,27,0,2,118,192
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 514","Mobile poll/Bureau itinérant",3,14,1,38,1,5,62,63
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 600","Saint-Eugène",3,239,22,153,9,4,430,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 601","Hawkesbury",4,563,105,422,11,15,1120,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 602","Hawkesbury",6,350,83,248,8,9,704,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 603","Vankleek Hill",2,333,62,430,15,5,847,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 604","L'Orignal",3,300,58,214,7,5,587,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 605","Alfred",5,319,58,144,10,5,541,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 606","Plantagenet",2,327,36,236,12,3,616,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 607","Rockland",3,613,60,322,10,3,1011,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 608","Rockland",2,972,114,547,15,3,1653,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 609","Cumberland",3,478,53,460,19,2,1015,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 610","Bearbrook",5,214,50,253,8,1,531,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 611","Bourget",2,399,40,289,4,3,737,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 612","Casselman",1,117,21,70,1,0,210,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 613","Embrun",4,401,60,318,8,2,793,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 614","Embrun",1,358,39,233,4,2,637,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 615","Russell",4,337,47,370,12,0,770,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 616","Embrun",2,163,25,113,3,0,306,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 617","Casselman",2,256,36,126,4,3,427,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 618","Casselman",7,393,46,225,8,3,682,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 619","Casselman",1,165,33,111,10,0,320,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 620","Alexandria",4,292,45,305,12,1,659,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 621","Alexandria",3,352,43,338,6,3,745,
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell",,"Group 1/Groupe 1",0,94,27,148,10,13,292,90
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell",,"Group 2/Groupe 2",7,1116,193,800,28,23,2167,
