Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Myriam Beaulieu,Laurier Busque,Marc Desmarais,Antoine Dubois,Olivier Nolin,Alain Rayes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 224","Victoriaville",51,0,48,0,34,79,1,213,328
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 225","Victoriaville",50,4,67,1,41,78,0,241,446
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 226","Victoriaville",50,3,38,1,32,52,1,177,341
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 227","Victoriaville",49,6,37,0,27,51,6,176,378
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 228","Victoriaville",58,1,60,1,37,80,5,242,418
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 400","Victoriaville",16,3,93,0,22,79,4,217,251
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 401","Victoriaville",18,1,45,0,7,65,0,136,159
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 402","Victoriaville",16,4,43,0,9,56,0,128,143
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 403","Asbestos",20,2,87,0,17,33,7,166,205
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 500","Mobile poll/Bureau itinérant",8,0,30,3,5,29,3,78,173
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 501A","Mobile poll/Bureau itinérant",13,1,31,2,4,34,2,87,113
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 501B","Victoriaville",Merged with No./Fusionné avec le n°225,,,,,,,,18
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 501C","Victoriaville",Merged with No./Fusionné avec le n°82,,,,,,,,33
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 502","Mobile poll/Bureau itinérant",24,2,72,0,20,54,2,174,254
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 503","Mobile poll/Bureau itinérant",11,1,39,0,15,37,1,104,214
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 504","Mobile poll/Bureau itinérant",9,1,39,1,4,12,1,67,152
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 505","Mobile poll/Bureau itinérant",10,1,42,3,7,11,0,74,168
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 600","Daveluyville",97,8,72,4,80,164,7,432,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 601","St-Albert",88,5,56,0,68,145,3,365,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 602","Victoriaville",196,10,155,3,97,374,10,845,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 603","Victoriaville",225,12,148,7,151,422,8,973,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 604","Victoriaville",181,8,147,2,95,359,13,805,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 605","Victoriaville",94,6,79,1,56,168,6,410,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 606","Victoriaville",192,9,160,3,106,428,7,905,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 607","Victoriaville",162,10,124,3,109,300,9,717,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 608","Victoriaville",225,12,191,4,140,461,9,1042,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 609","Victoriaville",95,6,53,1,75,145,2,377,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 610","Kingsey Falls",225,18,172,4,118,313,17,867,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 611","Ham-Nord",71,5,48,3,55,59,3,244,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 612","Asbestos",139,5,141,3,125,124,0,537,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 613","Danville",213,11,231,5,137,241,19,857,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 614","Asbestos",182,10,168,5,118,205,10,698,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 615","Richmond",111,6,226,0,56,89,5,493,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 616","Richmond",165,2,217,3,62,90,3,542,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 617","Windsor",310,10,212,6,179,192,15,924,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 618","Saint-François-Xavier-de-Brompton--Saint-Denis-de-Brompton",192,8,135,3,122,116,3,579,
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,"Group 1/Groupe 1",19,1,37,2,12,43,3,117,67
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,"Group 2/Groupe 2",506,30,249,24,240,696,8,1753,
