Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Bell,Eduard Walter Hiebert,Suzanne Hrynyk,MaryAnn Mihychuk,David Reimer,Steven Stairs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 99","Winnipeg",65,4,36,135,6,4,2,252,473
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 100","Winnipeg",54,0,36,89,3,2,0,184,330
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 101","Winnipeg",55,0,25,80,3,1,1,165,207
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 102","Winnipeg",74,0,30,117,9,4,3,237,479
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 103","Winnipeg",60,1,30,119,2,7,0,219,425
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 104","Winnipeg",63,2,41,118,3,6,2,235,448
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 105","Winnipeg",50,1,55,105,2,5,0,218,370
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 106","Winnipeg",57,1,34,114,3,5,2,216,421
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 107","Winnipeg",59,3,44,120,0,2,1,229,399
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 108","Winnipeg",58,0,33,95,1,6,1,194,388
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 109","Winnipeg",32,1,33,107,2,2,1,178,417
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 110","Winnipeg",37,0,28,64,4,3,1,137,273
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 111","Winnipeg",62,1,42,102,1,10,0,218,379
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 112","Winnipeg",59,2,52,94,2,5,0,214,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 113","Winnipeg",56,0,37,100,1,9,0,203,368
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 114A","Winnipeg",29,0,19,58,1,0,0,107,205
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 114B","Winnipeg",14,0,22,22,0,1,0,59,118
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 115","Winnipeg",86,0,18,76,1,8,0,189,292
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 116A","Winnipeg",44,0,22,56,0,2,0,124,200
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 116B","Winnipeg",Merged with No./Fusionné avec le n°155A,,,,,,,,100
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 117","Winnipeg",55,0,38,76,4,5,0,178,415
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 118","Winnipeg",88,1,32,69,7,6,2,205,301
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 119","Winnipeg",67,0,21,74,1,3,0,166,298
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 120","Winnipeg",44,0,22,86,1,3,0,156,380
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 121","Winnipeg",82,1,36,84,4,2,0,209,357
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 122","Winnipeg",80,1,29,80,5,6,0,201,371
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 123A","Winnipeg",76,1,49,90,6,3,0,225,344
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 123B","Winnipeg",42,3,14,42,2,3,1,107,129
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 124","Winnipeg",60,2,32,76,3,6,0,179,339
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 125","Winnipeg",7,0,5,27,0,1,0,40,110
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 126","Winnipeg",77,0,33,67,2,1,1,181,303
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 127","Winnipeg",25,0,42,113,6,2,1,189,460
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 128","Winnipeg",93,2,34,86,4,1,1,221,382
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 129","Winnipeg",74,0,40,96,1,6,1,218,386
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 130","Winnipeg",89,1,45,113,1,6,0,255,471
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 131","Winnipeg",78,0,45,105,3,2,3,236,448
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 132","Winnipeg",97,1,26,84,5,5,0,218,357
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 133","Winnipeg",76,0,38,83,3,6,1,207,359
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 134","Winnipeg",93,1,23,84,2,3,1,207,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 135","Winnipeg",103,0,20,98,0,5,0,226,362
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 136","Winnipeg",125,1,24,86,1,4,0,241,391
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 137","Winnipeg",106,1,46,86,6,7,0,252,379
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 138","Winnipeg",76,1,27,110,5,2,0,221,386
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 139","Winnipeg",96,2,27,96,4,6,0,231,378
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 140","Winnipeg",110,0,30,93,4,4,0,241,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 141","Winnipeg",99,0,33,89,4,0,2,227,398
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 142","Winnipeg",130,1,30,82,1,5,0,249,425
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 143","Winnipeg",94,0,11,107,2,5,1,220,376
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 144","Winnipeg",88,0,19,93,1,2,1,204,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 145","Winnipeg",121,1,24,150,2,4,0,302,472
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 146","Winnipeg",87,2,25,118,3,8,2,245,423
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 147","Winnipeg",94,0,48,129,1,10,2,284,428
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 148","Winnipeg",78,0,30,112,1,3,1,225,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 149","Winnipeg",94,1,35,101,3,4,0,238,434
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 150","Winnipeg",108,0,25,91,0,4,1,229,387
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 151","Winnipeg",81,1,39,88,3,3,0,215,382
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 152","Winnipeg",72,2,38,87,0,1,0,200,316
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 153","Winnipeg",85,2,42,99,1,8,3,240,387
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 154","Winnipeg",88,2,41,65,6,4,0,206,400
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 155A","Winnipeg",75,1,32,61,4,1,0,174,177
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 155B","Winnipeg",17,2,24,50,1,2,3,99,142
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 400","Middlechurch",18,2,9,26,1,0,0,56,130
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 401","Winnipeg",Void/Supprimé,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 402","Winnipeg",Void/Supprimé,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 403","Winnipeg",33,1,5,38,2,5,1,85,100
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 404","Winnipeg",Void/Supprimé,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 405","Winnipeg",45,2,24,33,1,0,2,107,144
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 406","Winnipeg",111,1,46,77,11,4,0,250,375
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 407","Winnipeg",104,0,39,67,6,1,1,218,385
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 408","Winnipeg",51,0,21,50,2,4,0,128,192
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 409","Winnipeg",31,0,10,29,2,2,0,74,156
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 410","Winnipeg",93,2,37,95,4,4,0,235,347
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 411","Winnipeg",70,0,38,63,5,3,1,180,238
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 412","Winnipeg",16,2,18,37,0,0,3,76,94
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 413","Winnipeg",7,0,7,20,0,0,0,34,66
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 414","Winnipeg",8,1,14,33,2,0,0,58,117
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 415","Winnipeg",7,1,3,21,0,0,0,32,54
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 416","Winnipeg",Merged with No./Fusionné avec le n°101,,,,,,,,142
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 417","Winnipeg",34,2,24,58,2,0,0,120,160
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 418","Winnipeg",44,0,32,84,0,2,0,162,234
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 419","Winnipeg",Void/Supprimé,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 420","Winnipeg",16,1,9,21,4,2,0,53,66
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 500A","Mobile poll/Bureau itinérant",17,2,11,28,1,0,4,63,95
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 500B","Mobile poll/Bureau itinérant",26,4,10,22,3,1,2,68,55
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 501","Mobile poll/Bureau itinérant",13,3,11,15,2,2,0,46,93
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 502","Mobile poll/Bureau itinérant",71,5,13,29,13,3,2,136,168
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 600","West St. Paul",258,1,86,188,3,11,0,547,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 601","East St. Paul",661,1,111,367,3,16,0,1159,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 602","Winnipeg",486,2,124,289,10,15,0,926,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 603","Winnipeg",341,0,90,221,5,7,3,667,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 604","Winnipeg",270,0,98,333,2,10,3,716,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 605","Winnipeg",220,1,119,258,6,10,7,621,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 606","Winnipeg",270,0,156,330,10,16,2,784,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 607","Winnipeg",209,2,143,307,6,15,3,685,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 608","Winnipeg",164,0,95,183,1,9,4,456,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 609","Winnipeg",313,1,179,304,9,10,2,818,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 610","Winnipeg",474,1,138,390,16,12,2,1033,
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,"Group 1/Groupe 1",27,0,21,62,0,2,4,116,106
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,"Group 2/Groupe 2",352,2,144,355,9,18,7,887,
