Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Dave Bylsma,Wayne Ettinger,Diane Finley,John Harris,Joan Mouland,Dustin Wakeford,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 174","Norfolk County",0,1,2,95,22,57,0,2,179,452
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 175","Norfolk County",1,0,3,98,10,25,0,5,142,244
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 175-1","Norfolk County",0,0,0,55,4,28,0,1,88,214
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 176","Norfolk County",2,6,3,109,36,54,0,4,214,409
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 177","Norfolk County",0,0,2,62,4,31,0,0,99,279
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 178","Norfolk County",0,0,8,80,25,53,0,0,166,339
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 179","Norfolk County",0,0,8,90,22,75,3,0,198,422
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 180","Norfolk County",0,1,9,117,32,91,0,2,252,423
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 180-1","Norfolk County",0,1,3,37,17,31,1,1,91,197
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 181","Norfolk County",0,0,12,79,32,80,4,0,207,430
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 182","Norfolk County",1,2,11,103,15,43,1,2,178,349
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 183","Norfolk County",0,1,8,108,33,78,0,0,228,455
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 184","Norfolk County",0,0,7,202,25,90,0,1,325,407
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 185","Norfolk County",0,0,5,116,27,56,2,0,206,410
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 186","Norfolk County",0,1,4,97,17,76,0,0,195,371
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 187","Norfolk County",1,2,5,84,14,37,0,0,143,350
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 187-1","Norfolk County",0,2,6,94,16,51,0,0,169,385
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 188","Norfolk County",2,4,12,151,33,56,0,0,258,554
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 400","Haldimand County",0,4,1,24,4,6,1,2,42,133
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 401","Norfolk County",0,0,0,29,8,23,1,3,64,173
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 500","Mobile poll/Bureau itinérant",0,0,4,9,4,12,1,0,30,69
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 501","Mobile poll/Bureau itinérant",0,0,1,23,5,23,0,3,55,140
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 502","Mobile poll/Bureau itinérant",1,1,2,61,11,30,1,0,107,197
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 503","Mobile poll/Bureau itinérant",1,2,2,45,15,33,2,2,102,219
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 504","Mobile poll/Bureau itinérant",1,1,0,61,2,25,1,1,92,160
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 505","Mobile poll/Bureau itinérant",2,3,4,31,10,31,2,4,87,163
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 600","Haldimand County",4,8,41,562,187,515,3,3,1323,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 601","Haldimand County",0,14,19,318,87,204,0,2,644,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 602","Haldimand County",3,28,63,446,103,239,0,4,886,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 603","Haldimand County",0,12,15,243,78,140,1,1,490,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 604","Ancaster",3,5,14,254,68,165,5,4,518,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 605","Haldimand County",1,9,23,299,100,261,1,1,695,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 606","Norfolk County",2,7,16,364,95,268,3,7,762,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 607","Ancaster",0,2,20,220,45,169,1,3,460,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 608","Norfolk County",3,6,19,365,112,331,7,3,846,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 609","Norfolk County",0,4,19,400,104,417,4,3,951,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 610","Norfolk County",1,5,10,134,28,146,0,2,326,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 611","Norfolk County",1,11,20,492,103,448,1,5,1081,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 612","Norfolk County",0,3,12,194,48,157,1,4,419,
