Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Marie Hughes,Brooke Taylor Malinoski,Doug Ottenbreit,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville /Yorkton--Melville "," 600","Hudson Bay",7,38,71,129,0,245,
47014,"Yorkton--Melville /Yorkton--Melville "," 601","Carragana",3,15,29,114,0,161,
47014,"Yorkton--Melville /Yorkton--Melville "," 602","Naicam",7,28,37,159,2,233,
47014,"Yorkton--Melville /Yorkton--Melville "," 603","Wadena",8,46,87,212,1,354,
47014,"Yorkton--Melville /Yorkton--Melville "," 604","Preeceville",12,31,75,273,0,391,
47014,"Yorkton--Melville /Yorkton--Melville "," 605","Norquay",4,8,15,117,0,144,
47014,"Yorkton--Melville /Yorkton--Melville "," 606","Kamsack",4,39,78,166,0,287,
47014,"Yorkton--Melville /Yorkton--Melville "," 607","Canora",12,54,64,231,0,361,
47014,"Yorkton--Melville /Yorkton--Melville "," 608","Foam Lake",2,25,48,213,2,290,
47014,"Yorkton--Melville /Yorkton--Melville "," 609","Springside",6,36,35,170,0,247,
47014,"Yorkton--Melville /Yorkton--Melville "," 610","Yorkton",12,132,177,435,3,759,
47014,"Yorkton--Melville /Yorkton--Melville "," 611","Yorkton",12,176,151,369,1,709,
47014,"Yorkton--Melville /Yorkton--Melville "," 612","Bredenbury",4,17,42,107,0,170,
47014,"Yorkton--Melville /Yorkton--Melville "," 613","Fenwood",2,37,30,116,0,185,
47014,"Yorkton--Melville /Yorkton--Melville "," 614","Melville",12,107,155,329,0,603,
47014,"Yorkton--Melville /Yorkton--Melville "," 615","Esterhazy",15,65,97,308,1,486,
47014,"Yorkton--Melville /Yorkton--Melville "," 616","Langenburg",3,15,24,120,0,162,
47014,"Yorkton--Melville /Yorkton--Melville ",,"Group 1/Groupe 1",8,93,32,22,4,159,148
47014,"Yorkton--Melville /Yorkton--Melville ",,"Group 2/Groupe 2",24,151,234,502,11,922,
