Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanna Dieleman,Ali Hamadi,Irene Mathyssen,Matthew Peloza,Khalil Ramal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 181","London",77,1,76,9,99,1,263,472
35051,"London--Fanshawe/London--Fanshawe"," 182","London",55,1,35,5,52,0,148,317
35051,"London--Fanshawe/London--Fanshawe"," 183","London",53,4,82,14,95,5,253,455
35051,"London--Fanshawe/London--Fanshawe"," 184","London",67,0,53,8,69,0,197,410
35051,"London--Fanshawe/London--Fanshawe"," 185","London",60,3,49,3,52,0,167,322
35051,"London--Fanshawe/London--Fanshawe"," 186","London",38,2,54,0,94,1,189,421
35051,"London--Fanshawe/London--Fanshawe"," 187","London",46,2,88,9,73,2,220,438
35051,"London--Fanshawe/London--Fanshawe"," 188","London",66,1,59,8,72,2,208,370
35051,"London--Fanshawe/London--Fanshawe"," 189","London",63,0,44,6,56,0,169,328
35051,"London--Fanshawe/London--Fanshawe"," 190","London",57,1,83,3,53,2,199,343
35051,"London--Fanshawe/London--Fanshawe"," 191","London",36,0,58,5,60,1,160,311
35051,"London--Fanshawe/London--Fanshawe"," 192","London",39,2,67,2,79,0,189,489
35051,"London--Fanshawe/London--Fanshawe"," 193","London",60,1,54,6,82,0,203,416
35051,"London--Fanshawe/London--Fanshawe"," 194","London",49,0,99,5,90,0,243,436
35051,"London--Fanshawe/London--Fanshawe"," 195","London",46,3,79,4,61,0,193,334
35051,"London--Fanshawe/London--Fanshawe"," 196","London",61,0,85,5,98,1,250,468
35051,"London--Fanshawe/London--Fanshawe"," 197","London",53,1,75,5,75,0,209,438
35051,"London--Fanshawe/London--Fanshawe"," 198","London",36,4,91,7,63,2,203,407
35051,"London--Fanshawe/London--Fanshawe"," 199","London",56,1,70,3,71,1,202,367
35051,"London--Fanshawe/London--Fanshawe"," 200","London",24,1,79,4,78,2,188,382
35051,"London--Fanshawe/London--Fanshawe"," 201","London",35,0,77,5,62,0,179,337
35051,"London--Fanshawe/London--Fanshawe"," 202","London",44,2,73,5,72,4,200,338
35051,"London--Fanshawe/London--Fanshawe"," 203","London",46,1,40,3,35,0,125,325
35051,"London--Fanshawe/London--Fanshawe"," 204","London",17,0,42,4,42,0,105,325
35051,"London--Fanshawe/London--Fanshawe"," 205","London",62,0,64,1,82,1,210,383
35051,"London--Fanshawe/London--Fanshawe"," 206","London",48,0,75,6,93,1,223,404
35051,"London--Fanshawe/London--Fanshawe"," 207","London",48,1,50,6,70,1,176,331
35051,"London--Fanshawe/London--Fanshawe"," 208","London",41,0,73,6,70,0,190,409
35051,"London--Fanshawe/London--Fanshawe"," 209","London",31,1,48,1,81,0,162,323
35051,"London--Fanshawe/London--Fanshawe"," 210","London",53,1,57,4,63,0,178,435
35051,"London--Fanshawe/London--Fanshawe"," 400","London",53,2,69,16,172,1,313,316
35051,"London--Fanshawe/London--Fanshawe"," 401","London",49,1,61,3,59,0,173,230
35051,"London--Fanshawe/London--Fanshawe"," 500","Mobile poll/Bureau itinérant",65,3,39,4,67,0,178,32
35051,"London--Fanshawe/London--Fanshawe"," 600","London",197,8,282,23,214,0,724,
35051,"London--Fanshawe/London--Fanshawe"," 601","London",205,1,258,11,127,3,605,
35051,"London--Fanshawe/London--Fanshawe"," 602","London",168,2,280,10,110,1,571,
35051,"London--Fanshawe/London--Fanshawe"," 603","London",173,4,286,14,170,5,652,
35051,"London--Fanshawe/London--Fanshawe"," 604","London",184,3,290,20,164,7,668,
