Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 93","Mississauga",80,4,9,86,0,0,0,179,411
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 94","Mississauga",73,2,3,65,0,0,0,143,287
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 95","Mississauga",68,0,5,66,0,1,0,140,292
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 96","Mississauga",112,6,13,127,1,2,0,261,476
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 97A","Mississauga",96,5,11,48,0,1,0,161,288
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 97B","Mississauga",61,2,3,58,0,0,0,124,213
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 98","Mississauga",81,4,10,68,0,1,2,166,418
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 99","Mississauga",110,1,5,114,0,0,0,230,431
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 100","Mississauga",110,1,7,81,0,1,0,200,357
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 101","Mississauga",110,5,10,94,0,0,0,219,385
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 102","Mississauga",108,3,13,88,0,1,0,213,359
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 103","Mississauga",89,4,12,97,0,0,1,203,375
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 104","Mississauga",134,3,10,69,0,1,0,217,401
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 105","Mississauga",116,3,7,82,0,1,2,211,379
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 106","Mississauga",125,3,7,68,0,0,1,204,353
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 107","Mississauga",136,0,3,79,0,2,0,220,420
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 108","Mississauga",48,3,15,75,1,0,0,142,367
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 109","Mississauga",72,6,25,97,0,2,0,202,492
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 110","Mississauga",75,2,7,101,0,1,0,186,455
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 111","Mississauga",74,5,10,81,0,0,0,170,401
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 112","Mississauga",91,5,9,97,0,0,0,202,389
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 113","Mississauga",129,4,11,78,0,0,1,223,402
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 114","Mississauga",101,4,0,65,0,1,1,172,380
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 115","Mississauga",113,5,5,79,0,0,0,202,437
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 116","Mississauga",108,9,7,70,0,0,0,194,373
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 117","Mississauga",78,2,11,113,1,1,1,207,391
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 118","Mississauga",142,5,15,112,1,3,0,278,465
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 119","Mississauga",92,1,10,107,1,1,1,213,452
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 120","Mississauga",131,2,9,72,1,3,0,218,397
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 121","Mississauga",101,2,4,69,0,0,0,176,401
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 122","Mississauga",77,2,9,71,0,1,0,160,336
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 123","Mississauga",71,6,11,65,0,0,0,153,352
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 124","Mississauga",79,3,8,73,0,1,0,164,371
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 125","Mississauga",100,6,21,114,0,0,0,241,393
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 126","Mississauga",65,17,16,111,0,3,1,213,411
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 127","Mississauga",53,2,8,82,1,3,0,149,403
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 128","Mississauga",13,4,15,97,0,2,1,132,379
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 129","Mississauga",20,1,20,69,0,0,2,112,363
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 130","Mississauga",39,6,13,82,2,2,4,148,389
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 131","Mississauga",17,1,23,60,1,1,1,104,336
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 132","Mississauga",60,4,13,90,0,0,1,168,302
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 133","Mississauga",112,6,17,121,0,1,0,257,391
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 134","Mississauga",108,2,20,108,0,1,1,240,444
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 135","Mississauga",67,8,10,104,0,0,2,191,371
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 136","Mississauga",46,3,22,76,0,1,0,148,336
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 137","Mississauga",80,3,31,109,1,2,2,228,392
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 138","Mississauga",90,2,19,110,0,1,1,223,418
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 139","Mississauga",71,10,14,109,0,1,1,206,495
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 140","Mississauga",90,0,29,117,0,0,0,236,411
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 141","Mississauga",102,3,27,118,1,1,0,252,422
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 142","Mississauga",85,4,21,103,0,1,0,214,363
