Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Terry Hayward,Les Lilley,Jeff Wheeldon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 27B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,12
46008,"Provencher/Provencher"," 27C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,27
46008,"Provencher/Provencher"," 28","Oakbank",106,125,21,15,1,268,423
46008,"Provencher/Provencher"," 29","Oakbank",128,101,20,9,2,260,414
46008,"Provencher/Provencher"," 30","Oakbank",80,96,6,5,0,187,304
46008,"Provencher/Provencher"," 31","Oakbank",76,64,12,5,0,157,287
46008,"Provencher/Provencher"," 32","Dugald",129,59,14,8,0,210,398
46008,"Provencher/Provencher"," 33","Dugald",106,86,22,10,2,226,374
46008,"Provencher/Provencher"," 34","Dugald",101,88,13,7,0,209,376
46008,"Provencher/Provencher"," 35","Navin",102,71,10,4,0,187,426
46008,"Provencher/Provencher"," 36","Lorette",80,78,6,7,2,173,284
46008,"Provencher/Provencher"," 37","Lorette",67,85,23,5,0,180,336
46008,"Provencher/Provencher"," 38","Rosewood",124,116,20,8,0,268,566
46008,"Provencher/Provencher"," 39","Lorette",143,145,23,12,0,323,616
46008,"Provencher/Provencher"," 40","Lorette",60,119,16,11,1,207,418
46008,"Provencher/Provencher"," 41A","Lorette",119,159,30,7,0,315,570
46008,"Provencher/Provencher"," 41B","Lorette",120,155,19,13,1,308,515
46008,"Provencher/Provencher"," 42","Lorette",84,155,18,7,0,264,434
46008,"Provencher/Provencher"," 43","Lorette",55,67,9,1,1,133,311
46008,"Provencher/Provencher"," 44","Ste-Geneviève",111,124,17,18,2,272,510
46008,"Provencher/Provencher"," 45","Ste-Geneviève",68,96,31,9,0,204,301
46008,"Provencher/Provencher"," 46","Ste. Anne",73,152,19,7,1,252,507
46008,"Provencher/Provencher"," 47","Ste. Anne",51,138,13,12,3,217,393
46008,"Provencher/Provencher"," 48","Ste. Anne",47,68,8,4,2,129,244
46008,"Provencher/Provencher"," 49","Ste. Anne",68,82,3,3,2,158,284
46008,"Provencher/Provencher"," 50","Ste. Anne",73,25,5,5,2,110,271
46008,"Provencher/Provencher"," 51","Ste. Anne",47,81,5,0,0,133,273
46008,"Provencher/Provencher"," 52","Ste. Anne",132,167,30,18,0,347,629
46008,"Provencher/Provencher"," 53","Taché",174,82,3,12,0,271,439
46008,"Provencher/Provencher"," 54","Landmark",144,66,11,15,1,237,379
46008,"Provencher/Provencher"," 55","Taché",119,74,10,14,4,221,353
46008,"Provencher/Provencher"," 56","Linden",138,61,16,15,0,230,468
46008,"Provencher/Provencher"," 57","Ile des Chênes",126,102,9,5,1,243,370
46008,"Provencher/Provencher"," 58","Ile des Chênes",99,107,17,15,0,238,355
46008,"Provencher/Provencher"," 59","Ile des Chênes",175,205,18,10,1,409,742
46008,"Provencher/Provencher"," 60","Ile des Chênes",136,258,25,17,1,437,633
46008,"Provencher/Provencher"," 61","Ile des Chênes",54,88,12,4,0,158,234
46008,"Provencher/Provencher"," 62","Ile des Chênes",96,149,15,10,0,270,494
46008,"Provencher/Provencher"," 63","Oak Island Settlement",145,91,15,6,1,258,374
46008,"Provencher/Provencher"," 64","St. Adolphe",144,154,14,9,4,325,460
46008,"Provencher/Provencher"," 65","St. Adolphe",120,98,6,12,1,237,378
