Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Della Anaquod,Greg Chatterson,Nial Kuyek,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 106","Regina",60,8,66,28,2,164,448
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 107","Regina",60,3,97,23,0,183,425
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 108","Regina",57,2,63,19,1,142,417
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 109","Regina",55,4,65,37,0,161,411
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 110","Regina",56,1,89,27,1,174,404
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 111","Regina",60,3,99,49,0,211,426
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 112","Regina",54,5,51,19,2,131,384
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 113","Regina",60,7,69,28,0,164,340
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 114","Regina",47,0,75,48,4,174,374
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 115","Regina",61,5,74,46,0,186,366
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 116","Regina",52,4,71,28,0,155,395
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 117","Regina",56,6,72,40,0,174,385
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 118","Regina",33,4,74,38,0,149,376
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 119","Regina",60,7,85,31,0,183,395
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 120","Regina",74,9,85,41,1,210,384
