Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Duguid,Gordon Giesbrecht,Brianne Goertzen,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 402","Winnipeg",25,15,8,0,2,50,92
46013,"Winnipeg South/Winnipeg-Sud"," 500","Mobile poll/Bureau itinérant",81,14,9,5,30,139,168
46013,"Winnipeg South/Winnipeg-Sud"," 501","Mobile poll/Bureau itinérant",47,46,14,7,3,117,184
46013,"Winnipeg South/Winnipeg-Sud"," 600","Winnipeg",513,450,30,17,1,1011,
46013,"Winnipeg South/Winnipeg-Sud"," 601","Winnipeg",726,402,42,13,5,1188,
46013,"Winnipeg South/Winnipeg-Sud"," 602","Winnipeg",535,287,40,12,4,878,
46013,"Winnipeg South/Winnipeg-Sud"," 603","Winnipeg",705,409,42,22,2,1180,
46013,"Winnipeg South/Winnipeg-Sud"," 604","Winnipeg",609,322,49,23,1,1004,
46013,"Winnipeg South/Winnipeg-Sud"," 605","Winnipeg",690,330,51,16,1,1088,
46013,"Winnipeg South/Winnipeg-Sud"," 606","Winnipeg",626,326,32,9,1,994,
46013,"Winnipeg South/Winnipeg-Sud"," 607","Winnipeg",681,398,60,24,4,1167,
46013,"Winnipeg South/Winnipeg-Sud"," 608","Winnipeg",706,461,43,15,0,1225,
46013,"Winnipeg South/Winnipeg-Sud",,"Group 1/Groupe 1",90,42,6,2,10,150,93
46013,"Winnipeg South/Winnipeg-Sud",,"Group 2/Groupe 2",1067,426,93,37,13,1636,
