Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bannon,Mike Bossio,Daryl Kramp,Cam Mather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 75","Hungerford",15,89,66,3,0,173,367
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 76","Tweed",13,67,48,6,0,134,289
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 77","Tweed",15,58,46,2,2,123,308
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 78","Tweed",19,60,58,2,0,139,319
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 79A","Tweed",22,56,47,9,0,134,285
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 79B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,127
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 80","Madoc",15,61,64,6,0,146,399
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 81","Madoc",24,43,75,5,0,147,332
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 82","Madoc",21,48,61,3,1,134,342
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 83","Madoc",14,52,48,5,0,119,309
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 84","Madoc",11,36,67,1,1,116,304
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 85","Huntingdon",24,77,87,5,0,193,400
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 86","Huntingdon",28,97,122,15,1,263,456
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 87","Huntingdon",22,109,116,7,2,256,401
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 88","Thomasburg",12,82,86,11,1,192,379
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 89","Thomasburg",36,81,56,5,0,178,293
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 90","Thomasburg",30,83,78,7,0,198,345
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 91","Read",9,66,61,6,0,142,350
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 92","Read",21,75,77,5,0,178,375
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 93","Read",24,104,88,6,0,222,477
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 94","Read",24,91,43,5,0,163,290
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 95","Greater Napanee",27,90,109,8,1,235,380
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 96","Greater Napanee",31,109,108,4,1,253,425
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 97","Newburgh",23,177,57,5,1,263,412
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 98","Strathcona",26,99,92,8,0,225,367
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 99","Camden East",17,105,49,3,0,174,314
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 100","Thorpe",23,82,50,6,0,161,379
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 101","Wilton",39,99,78,10,1,227,443
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 102","Switzerville",19,56,82,4,0,161,332
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 103","Loyalist",46,107,56,13,0,222,491
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 104","Loyalist",36,113,74,15,1,239,499
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 105","Ernestown",42,104,59,5,1,211,430
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 106","Ernestown",29,75,48,12,3,167,335
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 107","Violet",30,72,62,7,0,171,332
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 108","Ernestown",33,108,81,3,1,226,417
