Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vince Fiorito,Karina Gould,David Laird,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Burlington/Burlington"," 185","Burlington",2,90,11,94,1,198,387
35015,"Burlington/Burlington"," 186A","Burlington",4,78,13,100,0,195,303
35015,"Burlington/Burlington"," 186B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,77
35015,"Burlington/Burlington"," 187","Burlington",5,85,25,86,1,202,367
35015,"Burlington/Burlington"," 188","Burlington",5,111,27,78,1,222,353
35015,"Burlington/Burlington"," 189","Burlington",2,88,29,47,0,166,357
35015,"Burlington/Burlington"," 190","Burlington",6,126,34,55,2,223,448
35015,"Burlington/Burlington"," 191","Burlington",7,79,23,56,0,165,349
35015,"Burlington/Burlington"," 192","Burlington",6,90,27,53,1,177,440
35015,"Burlington/Burlington"," 193","Burlington",4,113,40,104,2,263,427
35015,"Burlington/Burlington"," 194","Burlington",3,96,17,97,1,214,377
35015,"Burlington/Burlington"," 195","Burlington",9,107,22,110,1,249,404
35015,"Burlington/Burlington"," 196","Burlington",5,80,18,105,0,208,395
35015,"Burlington/Burlington"," 197","Burlington",3,114,15,126,0,258,464
35015,"Burlington/Burlington"," 198","Burlington",5,90,17,86,1,199,380
35015,"Burlington/Burlington"," 199","Burlington",6,81,15,48,0,150,346
35015,"Burlington/Burlington"," 200","Burlington",5,89,26,40,1,161,306
35015,"Burlington/Burlington"," 201","Burlington",3,104,14,145,0,266,444
35015,"Burlington/Burlington"," 202","Burlington",3,112,10,74,2,201,352
35015,"Burlington/Burlington"," 203","Burlington",7,122,18,89,1,237,438
35015,"Burlington/Burlington"," 204","Burlington",9,102,18,106,0,235,395
35015,"Burlington/Burlington"," 205","Burlington",8,103,22,119,1,253,481
35015,"Burlington/Burlington"," 206","Burlington",4,73,12,63,1,153,316
35015,"Burlington/Burlington"," 207","Burlington",0,29,7,24,3,63,102
35015,"Burlington/Burlington"," 208","Burlington",8,107,13,103,0,231,423
35015,"Burlington/Burlington"," 209","Burlington",2,65,16,111,1,195,391
35015,"Burlington/Burlington"," 210","Burlington",1,32,5,56,1,95,180
35015,"Burlington/Burlington"," 211","Burlington",4,103,27,71,0,205,371
35015,"Burlington/Burlington"," 212","Burlington",3,109,17,123,2,254,438
35015,"Burlington/Burlington"," 213","Burlington",5,71,14,69,5,164,319
35015,"Burlington/Burlington"," 214","Burlington",10,126,23,87,0,246,483
35015,"Burlington/Burlington"," 215","Burlington",9,99,27,109,0,244,422
35015,"Burlington/Burlington"," 216","Burlington",9,114,36,82,0,241,464
35015,"Burlington/Burlington"," 217","Burlington",3,99,11,83,0,196,335
35015,"Burlington/Burlington"," 218","Burlington",2,90,11,100,0,203,356
35015,"Burlington/Burlington"," 219","Burlington",7,104,20,101,0,232,459
35015,"Burlington/Burlington"," 220","Burlington",13,125,25,98,0,261,469
35015,"Burlington/Burlington"," 221","Burlington",5,103,21,124,0,253,457
35015,"Burlington/Burlington"," 222","Burlington",3,74,17,60,0,154,337
35015,"Burlington/Burlington"," 400","Burlington",3,79,10,71,1,164,208
35015,"Burlington/Burlington"," 401","Burlington",2,53,8,81,1,145,182
35015,"Burlington/Burlington"," 402","Burlington",0,91,14,76,0,181,240
35015,"Burlington/Burlington"," 403","Burlington",6,80,6,76,0,168,235
35015,"Burlington/Burlington"," 404","Burlington",3,80,21,86,2,192,256
35015,"Burlington/Burlington"," 405","Burlington",2,74,19,45,1,141,249
35015,"Burlington/Burlington"," 406","Burlington",2,58,4,61,0,125,195
35015,"Burlington/Burlington"," 407","Burlington",2,137,15,121,2,277,383
35015,"Burlington/Burlington"," 408","Burlington",3,79,11,60,0,153,211
35015,"Burlington/Burlington"," 409","Burlington",6,112,11,69,2,200,274
35015,"Burlington/Burlington"," 410","Burlington",3,79,19,63,0,164,221
35015,"Burlington/Burlington"," 411","Burlington",1,69,14,65,0,149,215
