Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill MacCallum,David Marquis,Mike Perry,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 48","Kawartha Lakes",8,82,33,122,1,246,382
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 49","Kawartha Lakes",10,66,42,107,0,225,451
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 50","Kawartha Lakes",11,82,48,110,1,252,462
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 51","Kawartha Lakes",9,77,58,106,1,251,446
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 52","Kawartha Lakes",9,57,49,66,0,181,302
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 53","Kawartha Lakes",2,23,12,31,0,68,160
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 54","Kawartha Lakes",10,66,35,91,0,202,507
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 55","Kawartha Lakes",13,61,34,114,0,222,457
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 56","Kawartha Lakes",9,93,53,112,3,270,447
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 57","Kawartha Lakes",6,55,39,82,0,182,375
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 58","Kawartha Lakes",3,78,24,98,0,203,451
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 59","Kawartha Lakes",2,54,58,104,0,218,439
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 60","Kawartha Lakes",8,53,45,81,0,187,425
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 61","Kawartha Lakes",6,56,39,84,1,186,467
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 62","Kawartha Lakes",12,81,50,84,0,227,450
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 63","Kawartha Lakes",1,68,46,122,1,238,393
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 64","Kawartha Lakes",12,82,54,127,0,275,444
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 65A","Kawartha Lakes",6,58,39,114,1,218,420
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 65B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,70
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 66","Kawartha Lakes",9,66,45,65,1,186,415
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 67","Kawartha Lakes",8,77,36,92,0,213,449
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 68","Kawartha Lakes",3,101,52,127,2,285,460
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 69","Kawartha Lakes",10,69,54,109,2,244,483
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 70","Kawartha Lakes",4,107,18,92,0,221,469
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 71","Kawartha Lakes",5,118,30,134,0,287,555
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 72","Kawartha Lakes",10,75,34,116,0,235,390
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 73","Kawartha Lakes",9,77,30,110,0,226,390
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 74","Kawartha Lakes",8,60,47,107,0,222,436
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 75","Kawartha Lakes",6,70,63,93,0,232,433
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 76","Kawartha Lakes",14,84,80,143,1,322,528
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 77","Kawartha Lakes",10,96,58,125,0,289,560
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 78","Kawartha Lakes",6,94,38,120,1,259,424
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 79","Kawartha Lakes",8,72,53,76,0,209,372
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 80","Kawartha Lakes",14,50,39,115,0,218,354
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 81","Kawartha Lakes",7,80,52,94,2,235,393
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 82","Kawartha Lakes",4,46,55,67,0,172,406
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 83","Kawartha Lakes",4,57,34,84,1,180,405
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 84","Kawartha Lakes",8,53,36,95,0,192,391
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 85","Kawartha Lakes",7,33,55,63,0,158,387
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86","Kawartha Lakes",7,82,74,99,1,263,548
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 87","Kawartha Lakes",16,87,85,93,0,281,525
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 88","Kawartha Lakes",10,85,41,130,1,267,438
