Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Kerry Cundal,Taryn Knorren,Ron Liepert,Tim Moen,Jesse Rau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 150","Calgary",11,82,6,163,4,3,1,270,496
48012,"Calgary Signal Hill/Calgary Signal Hill"," 151","Calgary",3,83,5,180,5,0,1,277,436
48012,"Calgary Signal Hill/Calgary Signal Hill"," 152","Calgary",11,97,12,150,4,0,1,275,451
48012,"Calgary Signal Hill/Calgary Signal Hill"," 153","Calgary",10,64,3,137,4,0,1,219,418
48012,"Calgary Signal Hill/Calgary Signal Hill"," 154","Calgary",11,84,5,55,2,0,0,157,341
48012,"Calgary Signal Hill/Calgary Signal Hill"," 155","Calgary",14,77,12,74,1,1,0,179,331
48012,"Calgary Signal Hill/Calgary Signal Hill"," 156","Calgary",10,64,8,133,1,1,0,217,382
48012,"Calgary Signal Hill/Calgary Signal Hill"," 157","Calgary",8,63,4,122,5,1,0,203,306
48012,"Calgary Signal Hill/Calgary Signal Hill"," 158","Calgary",13,67,7,59,1,0,1,148,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 159","Calgary",21,87,7,108,6,0,1,230,458
48012,"Calgary Signal Hill/Calgary Signal Hill"," 160","Calgary",10,52,10,124,2,1,2,201,341
48012,"Calgary Signal Hill/Calgary Signal Hill"," 161","Calgary",11,99,4,142,2,1,1,260,422
48012,"Calgary Signal Hill/Calgary Signal Hill"," 162","Calgary",17,130,12,93,4,0,0,256,485
48012,"Calgary Signal Hill/Calgary Signal Hill"," 163","Calgary",14,76,5,106,3,2,0,206,401
48012,"Calgary Signal Hill/Calgary Signal Hill"," 164","Calgary",14,101,7,83,2,0,0,207,368
48012,"Calgary Signal Hill/Calgary Signal Hill"," 165","Calgary",24,109,6,72,0,2,1,214,470
48012,"Calgary Signal Hill/Calgary Signal Hill"," 166","Calgary",10,94,10,129,6,1,0,250,421
48012,"Calgary Signal Hill/Calgary Signal Hill"," 167","Calgary",22,87,15,129,1,0,0,254,427
48012,"Calgary Signal Hill/Calgary Signal Hill"," 168","Calgary",7,79,8,173,3,1,1,272,403
48012,"Calgary Signal Hill/Calgary Signal Hill"," 169","Calgary",22,100,15,112,4,1,0,254,387
48012,"Calgary Signal Hill/Calgary Signal Hill"," 170","Calgary",7,65,5,188,4,0,4,273,454
48012,"Calgary Signal Hill/Calgary Signal Hill"," 171","Calgary",8,54,3,130,1,0,0,196,379
48012,"Calgary Signal Hill/Calgary Signal Hill"," 172","Calgary",10,74,10,151,2,1,1,249,462
48012,"Calgary Signal Hill/Calgary Signal Hill"," 173","Calgary",6,63,8,132,2,2,1,214,377
48012,"Calgary Signal Hill/Calgary Signal Hill"," 174","Calgary",8,38,5,137,1,0,0,189,380
48012,"Calgary Signal Hill/Calgary Signal Hill"," 175","Calgary",13,84,5,144,3,0,2,251,492
48012,"Calgary Signal Hill/Calgary Signal Hill"," 176","Calgary",8,76,2,135,1,0,0,222,407
48012,"Calgary Signal Hill/Calgary Signal Hill"," 177","Calgary",9,53,3,203,3,1,1,273,494
48012,"Calgary Signal Hill/Calgary Signal Hill"," 178","Calgary",11,57,6,94,1,1,0,170,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 179","Calgary",11,71,1,206,5,0,0,294,510
