Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Birinder Singh Ahluwalia,James Arruda,Ali Ehsassi,Chungsen Leung,Pouyan Tabasinejad,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Willowdale/Willowdale"," 42","North York",0,7,88,86,13,2,196,555
35115,"Willowdale/Willowdale"," 43","North York",0,0,89,88,24,0,201,607
35115,"Willowdale/Willowdale"," 44","North York",0,4,73,117,16,0,210,464
35115,"Willowdale/Willowdale"," 45","North York",2,6,110,62,15,0,195,428
35115,"Willowdale/Willowdale"," 46","North York",0,4,103,96,13,1,217,450
35115,"Willowdale/Willowdale"," 47","North York",0,5,72,103,18,3,201,510
35115,"Willowdale/Willowdale"," 48","North York",0,4,57,80,13,0,154,318
35115,"Willowdale/Willowdale"," 49","North York",0,1,39,66,7,3,116,235
35115,"Willowdale/Willowdale"," 50","North York",3,4,128,88,16,1,240,507
35115,"Willowdale/Willowdale"," 51","North York",1,4,70,66,19,2,162,358
35115,"Willowdale/Willowdale"," 52","North York",1,2,108,75,9,0,195,397
35115,"Willowdale/Willowdale"," 53","North York",0,6,84,54,11,1,156,434
35115,"Willowdale/Willowdale"," 54","North York",0,2,75,57,7,0,141,439
35115,"Willowdale/Willowdale"," 55","North York",0,4,77,66,8,0,155,370
35115,"Willowdale/Willowdale"," 56","North York",0,3,119,58,21,2,203,399
35115,"Willowdale/Willowdale"," 57","North York",0,4,120,75,12,2,213,470
35115,"Willowdale/Willowdale"," 58","North York",0,3,205,110,21,5,344,484
35115,"Willowdale/Willowdale"," 59A","North York",0,6,141,79,14,0,240,494
35115,"Willowdale/Willowdale"," 59B","North York",0,3,100,26,10,2,141,266
35115,"Willowdale/Willowdale"," 59C","North York",1,6,115,43,8,0,173,314
35115,"Willowdale/Willowdale"," 60","North York",1,2,136,83,17,2,241,476
35115,"Willowdale/Willowdale"," 61","North York",1,4,64,47,3,0,119,373
35115,"Willowdale/Willowdale"," 62","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 63","North York",1,1,102,24,22,0,150,404
35115,"Willowdale/Willowdale"," 64","North York",1,2,71,44,4,0,122,373
35115,"Willowdale/Willowdale"," 65","North York",3,9,117,57,17,0,203,478
35115,"Willowdale/Willowdale"," 66","North York",0,2,73,86,7,0,168,378
35115,"Willowdale/Willowdale"," 67","North York",2,4,72,73,5,1,157,391
35115,"Willowdale/Willowdale"," 68","North York",0,3,75,66,5,0,149,394
35115,"Willowdale/Willowdale"," 69","North York",6,2,80,73,5,0,166,397
35115,"Willowdale/Willowdale"," 70","North York",0,1,68,51,7,0,127,382
35115,"Willowdale/Willowdale"," 71","North York",1,8,82,66,15,0,172,447
35115,"Willowdale/Willowdale"," 72","North York",1,8,126,70,13,1,219,190
35115,"Willowdale/Willowdale"," 73","North York",1,4,51,55,3,0,114,336
35115,"Willowdale/Willowdale"," 74","North York",0,0,46,66,9,1,122,341
35115,"Willowdale/Willowdale"," 75","North York",0,2,70,70,9,1,152,351
35115,"Willowdale/Willowdale"," 76","North York",0,2,61,70,7,1,141,356
35115,"Willowdale/Willowdale"," 77","North York",0,3,89,87,8,3,190,501
35115,"Willowdale/Willowdale"," 78A","North York",0,2,89,72,4,1,168,395
35115,"Willowdale/Willowdale"," 78B","North York",Merged with No./Fusionné avec le n°475,,,,,,,67
35115,"Willowdale/Willowdale"," 79","North York",0,2,45,49,10,2,108,251
35115,"Willowdale/Willowdale"," 80","North York",1,2,125,88,12,4,232,200
35115,"Willowdale/Willowdale"," 80-1","North York",2,4,69,36,11,0,122,278
35115,"Willowdale/Willowdale"," 81","North York",0,5,74,32,8,1,120,229
35115,"Willowdale/Willowdale"," 82","North York",0,6,105,83,15,0,209,448
35115,"Willowdale/Willowdale"," 83","North York",0,6,125,97,20,0,248,454
35115,"Willowdale/Willowdale"," 84","North York",1,4,84,76,18,0,183,387
35115,"Willowdale/Willowdale"," 85","North York",1,4,130,80,14,1,230,431
35115,"Willowdale/Willowdale"," 86","North York",2,8,117,64,20,0,211,410
35115,"Willowdale/Willowdale"," 87","North York",0,3,106,83,5,0,197,501
35115,"Willowdale/Willowdale"," 88","North York",0,4,91,58,11,0,164,357
35115,"Willowdale/Willowdale"," 89","North York",0,4,84,74,12,0,174,355
35115,"Willowdale/Willowdale"," 90","North York",2,4,88,55,13,1,163,350
35115,"Willowdale/Willowdale"," 91","North York",0,4,71,67,11,0,153,319
35115,"Willowdale/Willowdale"," 92","North York",2,10,85,80,17,0,194,410
35115,"Willowdale/Willowdale"," 93","North York",1,7,87,71,21,3,190,475
35115,"Willowdale/Willowdale"," 94","North York",0,8,98,59,18,2,185,456
35115,"Willowdale/Willowdale"," 95","North York",0,5,76,73,8,0,162,315
35115,"Willowdale/Willowdale"," 96","North York",1,8,104,58,17,0,188,421
35115,"Willowdale/Willowdale"," 97","North York",0,13,205,142,27,4,391,735
35115,"Willowdale/Willowdale"," 98","North York",2,4,133,123,16,2,280,461
35115,"Willowdale/Willowdale"," 99","North York",0,4,105,46,14,1,170,352
35115,"Willowdale/Willowdale"," 100","North York",1,5,96,91,6,2,201,427
35115,"Willowdale/Willowdale"," 101","North York",1,9,205,96,39,1,351,562
35115,"Willowdale/Willowdale"," 102","North York",1,4,141,111,12,0,269,101
35115,"Willowdale/Willowdale"," 103","North York",1,6,152,140,18,0,317,467
35115,"Willowdale/Willowdale"," 104","North York",1,4,58,87,7,0,157,357
35115,"Willowdale/Willowdale"," 105","North York",1,10,154,77,16,3,261,482
35115,"Willowdale/Willowdale"," 106","North York",1,2,87,51,12,1,154,343
35115,"Willowdale/Willowdale"," 107A","North York",3,8,91,58,14,1,175,372
35115,"Willowdale/Willowdale"," 107B","North York",Merged with No./Fusionné avec le n°101,,,,,,,14
35115,"Willowdale/Willowdale"," 108","North York",1,4,109,63,8,0,185,343
35115,"Willowdale/Willowdale"," 109","North York",4,13,129,104,15,0,265,422
35115,"Willowdale/Willowdale"," 110","North York",2,9,85,68,32,1,197,462
35115,"Willowdale/Willowdale"," 111","North York",0,9,95,70,7,3,184,284
35115,"Willowdale/Willowdale"," 112","North York",1,10,132,124,10,0,277,428
35115,"Willowdale/Willowdale"," 113","North York",2,5,246,69,34,2,358,635
35115,"Willowdale/Willowdale"," 400","North York",0,3,88,63,14,0,168,272
35115,"Willowdale/Willowdale"," 401","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 402","North York",5,5,39,82,11,4,146,242
