Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Berry,Brian Deheer,Kyle Harrietha,Roelof Janssen,Melody Lepine,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 183","Cold Lake",1,5,26,1,16,114,0,163,388
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 184","Cold Lake",0,6,39,2,13,133,1,194,390
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 185","Cold Lake",1,6,50,1,7,116,1,182,395
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 186","Cold Lake",3,5,56,2,19,175,1,261,459
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 187","Cold Lake",3,7,28,1,5,174,0,218,281
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 188A","Cherry Grove",1,4,22,1,12,132,1,173,182
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 188B","Cherry Grove",1,2,16,1,5,155,0,180,182
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 188C","Cherry Grove",2,5,18,0,11,115,0,151,172
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 189A","Cherry Grove",Merged with No./Fusionné avec le n°188A,,,,,,,,87
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 189B","Cherry Grove",Merged with No./Fusionné avec le n°188B,,,,,,,,73
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 189C","Cherry Grove",Merged with No./Fusionné avec le n°188C,,,,,,,,66
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 190","Cold Lake 149",4,2,136,4,169,19,0,334,500
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 191A","Cherry Grove",Merged with No./Fusionné avec le n°188A,,,,,,,,27
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 191B","Cherry Grove",Merged with No./Fusionné avec le n°188B,,,,,,,,29
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 191C","Cherry Grove",Merged with No./Fusionné avec le n°188C,,,,,,,,38
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 192A","Chipewyan Lakes",Merged with No./Fusionné avec le n°3A,,,,,,,,120
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 192B","Chipewyan Lakes",Merged with No./Fusionné avec le n°3B,,,,,,,,226
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 192C","Chipewyan Lakes",Merged with No./Fusionné avec le n°3C,,,,,,,,244
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 192D","Chipewyan Lakes",Merged with No./Fusionné avec le n°3D,,,,,,,,191
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 500","Mobile poll/Bureau itinérant",4,2,27,1,6,22,0,62,116
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 501","Mobile poll/Bureau itinérant",6,3,18,0,7,57,0,91,121
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 502","Mobile poll/Bureau itinérant",0,1,18,0,6,60,1,86,87
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 600","Fort Chipewyan",Combined with No./Jumelé avec le n°1,,,,,,,,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 601","Wabasca",2,2,180,0,77,37,2,300,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 602","Fort McMurray",0,2,17,1,7,51,0,78,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 603","Wood Buffalo",10,4,332,5,43,602,2,998,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 604","Fort McMurray",8,9,262,2,24,495,2,802,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 605","Fort McMurray",6,4,228,2,42,471,3,756,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 606","Wood Buffalo",8,8,244,1,28,485,1,775,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 607","Fort McMurray",7,2,190,2,30,405,0,636,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 608","Fort McMurray",7,1,197,2,38,313,1,559,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 609","Fort McMurray",1,12,109,0,23,187,0,332,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 610","Wood Buffalo",3,5,297,1,54,167,2,529,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 611","Fort McMurray",5,4,134,2,24,205,0,374,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 612","Fort McMurray",4,4,137,1,24,247,0,417,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 613","Lac La Biche",5,34,176,9,72,576,1,873,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 614","Calling Lake ",Combined with No./Jumelé avec le n°613,,,,,,,,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 615","Fort Kent",1,7,45,2,25,216,1,297,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 616","Cold Lake",13,21,181,5,75,875,2,1172,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 617","Cold Lake",3,15,171,7,54,589,2,841,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",,"Group 1/Groupe 1",12,13,94,3,40,182,8,352,107
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",,"Group 2/Groupe 2",22,28,561,15,174,718,37,1555,
