Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Liz Jaluague,Adam Pankratz,Grace Seear,Kennedy Stewart,Wyatt Tessari,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 177","Burnaby",4,79,44,103,14,1,245,465
59003,"Burnaby South/Burnaby-Sud"," 500","Mobile poll/Bureau itinérant",5,28,18,48,6,2,107,155
59003,"Burnaby South/Burnaby-Sud"," 501","Mobile poll/Bureau itinérant",5,22,21,27,2,1,78,145
59003,"Burnaby South/Burnaby-Sud"," 502","Mobile poll/Bureau itinérant",2,24,33,24,3,1,87,90
59003,"Burnaby South/Burnaby-Sud"," 600","Burnaby",7,340,219,328,27,6,927,
59003,"Burnaby South/Burnaby-Sud"," 601","Burnaby",6,254,235,269,15,6,785,
59003,"Burnaby South/Burnaby-Sud"," 602","Burnaby",5,148,141,280,21,0,595,
59003,"Burnaby South/Burnaby-Sud"," 603","Burnaby",7,279,244,489,22,0,1041,
59003,"Burnaby South/Burnaby-Sud"," 604","Burnaby",6,159,187,299,11,0,662,
59003,"Burnaby South/Burnaby-Sud"," 605","Burnaby",13,261,249,349,22,3,897,
59003,"Burnaby South/Burnaby-Sud"," 606","Burnaby",2,125,156,291,13,7,594,
59003,"Burnaby South/Burnaby-Sud"," 607","Burnaby",7,206,219,325,25,3,785,
59003,"Burnaby South/Burnaby-Sud"," 608","Burnaby",1,167,194,265,19,2,648,
59003,"Burnaby South/Burnaby-Sud"," 609","Burnaby",7,190,261,333,25,0,816,
59003,"Burnaby South/Burnaby-Sud"," 610","Burnaby",6,252,257,315,17,3,850,
59003,"Burnaby South/Burnaby-Sud"," 611","Burnaby",3,210,218,351,16,1,799,
59003,"Burnaby South/Burnaby-Sud",,"Group 1/Groupe 1",2,38,13,29,1,2,85,84
59003,"Burnaby South/Burnaby-Sud",,"Group 2/Groupe 2",6,419,289,661,50,36,1461,
