Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tracy Calogheros,Gordon Campbell,Sheldon Clare,Adam De Kroon,Trent Derrick,Todd Doherty,Richard Edward Jaques,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 160","Soda Creek",78,5,2,0,73,75,11,0,244,423
59004,"Cariboo--Prince George/Cariboo--Prince George"," 161","Williams Lake",103,0,0,2,59,79,12,0,255,487
59004,"Cariboo--Prince George/Cariboo--Prince George"," 162","Dugan Lake",24,1,1,2,17,93,1,0,139,206
59004,"Cariboo--Prince George/Cariboo--Prince George"," 163","150 Mile House",75,6,0,2,75,85,4,1,248,428
59004,"Cariboo--Prince George/Cariboo--Prince George"," 164","150 Mile House",59,2,0,0,36,103,7,0,207,357
59004,"Cariboo--Prince George/Cariboo--Prince George"," 165","150 Mile House",47,2,3,0,46,96,9,0,203,328
59004,"Cariboo--Prince George/Cariboo--Prince George"," 166","Dugan Lake",58,1,2,2,35,74,9,2,183,331
59004,"Cariboo--Prince George/Cariboo--Prince George"," 167","Miocene",75,0,2,4,55,121,20,0,277,443
59004,"Cariboo--Prince George/Cariboo--Prince George"," 168","Horsefly",30,1,2,0,44,95,14,0,186,276
59004,"Cariboo--Prince George/Cariboo--Prince George"," 169","Horsefly",36,2,0,1,32,84,7,1,163,231
59004,"Cariboo--Prince George/Cariboo--Prince George"," 170","Likely",46,0,3,0,27,85,6,1,168,273
59004,"Cariboo--Prince George/Cariboo--Prince George"," 171","Wells",45,0,0,2,76,32,10,0,165,232
59004,"Cariboo--Prince George/Cariboo--Prince George"," 172","Williams Lake",86,0,1,0,44,133,8,1,273,538
59004,"Cariboo--Prince George/Cariboo--Prince George"," 173","Williams Lake",78,3,1,2,50,97,6,0,237,525
59004,"Cariboo--Prince George/Cariboo--Prince George"," 174","Williams Lake",39,1,0,0,50,89,7,0,186,320
59004,"Cariboo--Prince George/Cariboo--Prince George"," 175","Williams Lake",74,2,1,0,36,110,5,1,229,410
59004,"Cariboo--Prince George/Cariboo--Prince George"," 176","Williams Lake",57,6,0,2,45,85,6,2,203,452
59004,"Cariboo--Prince George/Cariboo--Prince George"," 177","Williams Lake",60,0,4,1,49,103,3,0,220,472
59004,"Cariboo--Prince George/Cariboo--Prince George"," 178","Williams Lake",60,1,0,4,50,116,11,0,242,497
59004,"Cariboo--Prince George/Cariboo--Prince George"," 179","Williams Lake",67,2,0,0,54,69,4,1,197,394
59004,"Cariboo--Prince George/Cariboo--Prince George"," 180","Williams Lake",60,2,2,1,41,63,9,1,179,441
59004,"Cariboo--Prince George/Cariboo--Prince George"," 181","Williams Lake",56,5,0,5,76,62,4,0,208,485
59004,"Cariboo--Prince George/Cariboo--Prince George"," 182","Williams Lake",89,0,2,0,65,86,4,1,247,450
59004,"Cariboo--Prince George/Cariboo--Prince George"," 183","Williams Lake",52,1,0,0,49,68,10,1,181,346
59004,"Cariboo--Prince George/Cariboo--Prince George"," 184","Williams Lake",42,2,0,0,51,31,11,0,137,384
59004,"Cariboo--Prince George/Cariboo--Prince George"," 185","Williams Lake",44,2,2,3,67,59,5,0,182,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 186","Williams Lake",66,1,1,3,50,54,8,0,183,350
59004,"Cariboo--Prince George/Cariboo--Prince George"," 187","Williams Lake",52,2,3,1,74,42,8,1,183,393
59004,"Cariboo--Prince George/Cariboo--Prince George"," 188A","Williams Lake",57,0,1,0,51,59,5,0,173,376
59004,"Cariboo--Prince George/Cariboo--Prince George"," 188B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,15
59004,"Cariboo--Prince George/Cariboo--Prince George"," 189","Riske Creek",19,2,1,0,30,18,5,0,75,152
59004,"Cariboo--Prince George/Cariboo--Prince George"," 190A","Hanceville",4,0,0,0,15,12,2,0,33,88
59004,"Cariboo--Prince George/Cariboo--Prince George"," 190B","Hanceville",8,1,0,0,75,3,5,0,92,142
59004,"Cariboo--Prince George/Cariboo--Prince George"," 191","Nemaiah Valley",9,2,0,0,80,1,2,0,94,116
59004,"Cariboo--Prince George/Cariboo--Prince George"," 192","Tatla Lake",25,2,3,0,22,52,9,1,114,186
59004,"Cariboo--Prince George/Cariboo--Prince George"," 193","Big Creek",5,0,0,0,3,23,1,0,32,59
59004,"Cariboo--Prince George/Cariboo--Prince George"," 194","Alkali Lake",43,5,0,2,141,18,16,0,225,278
59004,"Cariboo--Prince George/Cariboo--Prince George"," 195","Williams Lake",60,3,3,2,46,78,6,0,198,370
59004,"Cariboo--Prince George/Cariboo--Prince George"," 196","Williams Lake",59,2,4,2,49,118,7,2,243,390
59004,"Cariboo--Prince George/Cariboo--Prince George"," 197","Springhouse",54,2,3,1,45,135,11,0,251,397
59004,"Cariboo--Prince George/Cariboo--Prince George"," 198","Springhouse",60,1,2,1,41,108,6,2,221,368
59004,"Cariboo--Prince George/Cariboo--Prince George"," 199","Dog Creek",12,0,0,1,41,2,2,0,58,98
