Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Filson,Rex Isaac,Jim Johnston,Bev Shipley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 400","Chatham-Kent",29,39,5,30,0,103,159
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 500","Mobile poll/Bureau itinérant",39,5,6,35,0,85,141
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 501","Mobile poll/Bureau itinérant",30,8,3,50,0,91,170
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 502","Mobile poll/Bureau itinérant",43,15,3,79,3,143,227
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 503","Mobile poll/Bureau itinérant",53,15,7,38,0,113,238
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 504","Mobile poll/Bureau itinérant",25,9,5,53,2,94,149
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 505","Mobile poll/Bureau itinérant",34,6,5,52,1,98,158
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 600","Forest (Lambton Shores)",176,119,20,444,3,762,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 601","Lambton Shores",266,80,31,386,1,764,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 602","Lambton Shores",97,34,3,236,2,372,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 603","North Middlesex",120,53,24,273,0,470,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 604","Lucan",179,54,9,367,3,612,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 605","Ilderton",283,64,17,406,3,773,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 606","Middlesex Centre",99,23,7,138,0,267,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 607","Caradoc (Mount Brydges) North",199,80,13,384,0,676,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 608","Caradoc (Mount Brydges) South",124,99,10,215,0,448,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 609","Caradoc (Mount Brydges) North",124,87,12,269,1,493,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 610","Strathroy",317,140,31,499,1,988,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 611","Strathroy",187,87,11,278,3,566,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 612","Watford",83,36,11,225,3,358,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 613","Glencoe",179,99,17,308,0,603,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 614","Thamesville",98,70,15,221,5,409,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 615","Dresden",155,105,25,313,1,599,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 616","Wallaceburg",14,14,2,50,0,80,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 617","Chatham-Kent",158,235,24,346,2,765,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 618","Wallaceburg",32,122,2,51,0,207,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 619","Grande-Pointe",88,58,16,212,1,375,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,"Group 1/Groupe 1",51,19,3,42,8,123,77
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,"Group 2/Groupe 2",302,213,49,743,22,1329,
