Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenn Brown,Tyler John Colbourne,Judy M. Foote,Mike Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 604","Port Blandford",8,0,102,23,0,133,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 605","Bonavista",20,0,134,19,1,174,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 606","Trinity Bay",15,0,74,3,0,92,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 607","Old Perlican",13,2,113,16,2,146,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 608","Hant's Harbour",45,6,314,59,1,425,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 609","Clarenville",5,1,59,13,0,78,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 610","Arnold's Cove",9,1,69,2,0,81,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 611","Heart's Content",6,0,59,6,0,71,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 612","St. Bernard's-Jacques Fontaine",1,0,25,4,0,30,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 613","Norman's Cove",9,2,42,7,2,62,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 614","Sunnyside",13,6,87,11,0,117,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 615","Parkers Cove",2,0,24,2,0,28,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 616","Marystown",14,1,251,25,3,294,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 617","Grand Bank",4,0,253,19,1,277,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 618","St. Lawrence",4,1,67,8,0,80,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 619","Burin",9,2,157,7,0,175,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity",,"Group 1/Groupe 1",12,2,78,39,5,136,45
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity",,"Group 2/Groupe 2",70,6,514,59,14,663,
