Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 81","Pincourt",41,16,6,52,157,1,273,448
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 82","Pincourt",28,43,2,27,92,4,196,395
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 83","Pincourt",20,38,6,41,62,4,171,370
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 84","Pincourt",30,45,7,59,124,3,268,412
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 85","Pincourt",30,35,3,52,83,3,206,350
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 86","Pincourt",28,27,3,62,132,3,255,463
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 87","Pincourt",35,31,5,33,123,1,228,425
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 88","Terrasse-Vaudreuil",22,26,6,56,87,0,197,320
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 89","Terrasse-Vaudreuil",17,32,9,39,82,3,182,270
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 90","Terrasse-Vaudreuil",21,32,4,38,93,0,188,305
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 91","Terrasse-Vaudreuil",29,39,8,65,82,1,224,388
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 92","Terrasse-Vaudreuil",23,25,9,36,70,5,168,294
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 93","Vaudreuil-Dorion",22,62,10,65,106,2,267,459
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 94","Vaudreuil-Dorion",17,41,10,48,98,0,214,422
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 95","Vaudreuil-Dorion",29,27,4,59,95,3,217,442
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 96","Vaudreuil-Dorion",35,50,6,62,74,0,227,411
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 97","Vaudreuil-Dorion",16,33,8,36,41,0,134,251
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 98","Vaudreuil-Dorion",27,59,1,50,72,5,214,421
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 99","Vaudreuil-Dorion",29,42,4,45,85,4,209,408
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 100","Vaudreuil-Dorion",16,76,8,63,70,4,237,424
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 101","Vaudreuil-Dorion",31,13,1,30,136,2,213,302
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 102","Vaudreuil-Dorion",30,41,7,41,200,3,322,494
