Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payam Azad,Claire Martin,Andrew Saxton,Carleen Thomas,Jonathan Wilkinson,Ismet Yetisen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 105B","Pemberton Heights",0,11,32,14,96,2,0,155,332
59021,"North Vancouver/North Vancouver"," 106","Pemberton Heights",2,9,43,14,198,2,3,271,514
59021,"North Vancouver/North Vancouver"," 107","Pemberton Heights",2,8,49,26,169,1,0,255,518
59021,"North Vancouver/North Vancouver"," 108","North Vancouver",0,14,51,19,141,1,1,227,463
59021,"North Vancouver/North Vancouver"," 109","North Vancouver",0,25,69,22,160,0,0,276,511
59021,"North Vancouver/North Vancouver"," 110","North Vancouver",2,19,47,113,148,1,2,332,577
59021,"North Vancouver/North Vancouver"," 111A","North Vancouver",0,18,31,54,116,1,0,220,378
59021,"North Vancouver/North Vancouver"," 111B","North Vancouver",0,14,32,39,110,1,0,196,412
59021,"North Vancouver/North Vancouver"," 112","North Vancouver",0,22,52,16,135,0,2,227,440
59021,"North Vancouver/North Vancouver"," 113","North Vancouver",0,22,57,24,118,0,0,221,525
59021,"North Vancouver/North Vancouver"," 114","North Vancouver",0,15,47,26,140,1,0,229,494
59021,"North Vancouver/North Vancouver"," 115A","North Vancouver",0,12,36,21,102,1,1,173,354
59021,"North Vancouver/North Vancouver"," 115B","North Vancouver",0,10,41,23,102,4,0,180,347
59021,"North Vancouver/North Vancouver"," 116A","North Vancouver",0,13,46,16,95,1,0,171,343
59021,"North Vancouver/North Vancouver"," 116B","North Vancouver",0,8,41,9,84,0,0,142,343
59021,"North Vancouver/North Vancouver"," 117","North Vancouver",0,13,69,29,152,0,3,266,551
59021,"North Vancouver/North Vancouver"," 118","North Vancouver",0,16,70,25,116,0,0,227,386
59021,"North Vancouver/North Vancouver"," 119A","North Vancouver",1,14,37,20,112,0,0,184,355
59021,"North Vancouver/North Vancouver"," 119B","North Vancouver",0,13,43,8,106,1,0,171,323
