Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalid Ahmed,Maureen Harquail,Yasmin Ratansi,Laura Elizabeth Sanderson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 32","North York",21,64,121,11,4,221,476
35019,"Don Valley East/Don Valley-Est"," 33","North York",12,49,73,3,0,137,342
35019,"Don Valley East/Don Valley-Est"," 34","North York",26,48,74,4,0,152,359
35019,"Don Valley East/Don Valley-Est"," 35","North York",13,62,92,4,1,172,317
35019,"Don Valley East/Don Valley-Est"," 36","North York",32,77,125,7,2,243,449
35019,"Don Valley East/Don Valley-Est"," 37","North York",27,85,151,8,1,272,511
35019,"Don Valley East/Don Valley-Est"," 38","North York",20,34,84,4,1,143,315
35019,"Don Valley East/Don Valley-Est"," 39","North York",34,60,123,7,1,225,490
35019,"Don Valley East/Don Valley-Est"," 40","North York",32,136,126,7,5,306,499
35019,"Don Valley East/Don Valley-Est"," 41","North York",29,85,110,3,3,230,514
35019,"Don Valley East/Don Valley-Est"," 42","North York",12,61,94,2,1,170,321
35019,"Don Valley East/Don Valley-Est"," 43","North York",14,83,83,7,0,187,350
35019,"Don Valley East/Don Valley-Est"," 44","North York",13,66,73,8,1,161,373
35019,"Don Valley East/Don Valley-Est"," 45","North York",9,48,82,3,0,142,325
35019,"Don Valley East/Don Valley-Est"," 46","North York",9,81,124,6,2,222,367
35019,"Don Valley East/Don Valley-Est"," 47","North York",23,46,57,5,0,131,323
35019,"Don Valley East/Don Valley-Est"," 48","North York",27,72,103,12,2,216,490
35019,"Don Valley East/Don Valley-Est"," 49","North York",14,40,84,7,0,145,319
35019,"Don Valley East/Don Valley-Est"," 50","North York",12,93,97,4,0,206,430
35019,"Don Valley East/Don Valley-Est"," 51","North York",10,84,106,4,0,204,436
35019,"Don Valley East/Don Valley-Est"," 52","North York",12,92,115,4,1,224,448
35019,"Don Valley East/Don Valley-Est"," 53","North York",29,79,158,8,1,275,573
35019,"Don Valley East/Don Valley-Est"," 54","North York",13,97,109,7,0,226,400
35019,"Don Valley East/Don Valley-Est"," 55","North York",18,99,104,6,0,227,395
35019,"Don Valley East/Don Valley-Est"," 56","North York",3,73,84,2,0,162,383
35019,"Don Valley East/Don Valley-Est"," 57","North York",6,64,63,3,0,136,334
35019,"Don Valley East/Don Valley-Est"," 58","North York",18,87,135,10,3,253,564
35019,"Don Valley East/Don Valley-Est"," 59","North York",19,54,75,4,0,152,367
35019,"Don Valley East/Don Valley-Est"," 60","North York",25,100,112,6,5,248,484
35019,"Don Valley East/Don Valley-Est"," 61","North York",27,87,139,13,0,266,523
35019,"Don Valley East/Don Valley-Est"," 62A","North York",26,60,97,9,1,193,331
35019,"Don Valley East/Don Valley-Est"," 62B","North York",22,88,117,4,1,232,370
35019,"Don Valley East/Don Valley-Est"," 63","North York",23,85,139,4,0,251,446
35019,"Don Valley East/Don Valley-Est"," 64","North York",12,84,120,11,0,227,514
35019,"Don Valley East/Don Valley-Est"," 65","North York",10,65,130,5,0,210,313
35019,"Don Valley East/Don Valley-Est"," 66","North York",19,109,161,13,1,303,446
35019,"Don Valley East/Don Valley-Est"," 67","North York",17,97,141,10,2,267,487
35019,"Don Valley East/Don Valley-Est"," 68","North York",13,80,147,3,2,245,347
35019,"Don Valley East/Don Valley-Est"," 69","North York",13,53,97,2,0,165,300
35019,"Don Valley East/Don Valley-Est"," 70","North York",17,92,140,5,0,254,508
35019,"Don Valley East/Don Valley-Est"," 71","North York",20,31,103,1,0,155,360
35019,"Don Valley East/Don Valley-Est"," 72","North York",27,67,125,2,1,222,479
35019,"Don Valley East/Don Valley-Est"," 73","North York",18,88,144,5,0,255,437
35019,"Don Valley East/Don Valley-Est"," 74","North York",20,74,125,4,0,223,373
35019,"Don Valley East/Don Valley-Est"," 75","North York",16,90,130,3,0,239,415
35019,"Don Valley East/Don Valley-Est"," 76","North York",23,106,137,10,1,277,408
35019,"Don Valley East/Don Valley-Est"," 77","North York",14,45,102,3,0,164,423
35019,"Don Valley East/Don Valley-Est"," 78","North York",22,50,100,5,0,177,418
35019,"Don Valley East/Don Valley-Est"," 79","North York",18,83,120,6,1,228,422
35019,"Don Valley East/Don Valley-Est"," 80","North York",22,77,112,12,0,223,394
35019,"Don Valley East/Don Valley-Est"," 81","North York",11,95,123,7,3,239,384
35019,"Don Valley East/Don Valley-Est"," 82","North York",38,62,113,9,1,223,429
35019,"Don Valley East/Don Valley-Est"," 83","North York",26,37,97,8,0,168,328
35019,"Don Valley East/Don Valley-Est"," 84","North York",19,39,100,6,2,166,362
35019,"Don Valley East/Don Valley-Est"," 85","North York",30,28,69,4,3,134,261
35019,"Don Valley East/Don Valley-Est"," 86A","North York",21,57,133,3,0,214,376
35019,"Don Valley East/Don Valley-Est"," 86B","North York",36,48,116,12,0,212,367
35019,"Don Valley East/Don Valley-Est"," 87","North York",25,44,108,10,1,188,371
35019,"Don Valley East/Don Valley-Est"," 88","North York",21,34,89,3,2,149,403
35019,"Don Valley East/Don Valley-Est"," 89","North York",23,38,109,7,0,177,493
35019,"Don Valley East/Don Valley-Est"," 90","North York",13,20,114,1,1,149,367
35019,"Don Valley East/Don Valley-Est"," 91","North York",5,46,163,6,4,224,442
35019,"Don Valley East/Don Valley-Est"," 92A","North York",16,60,129,3,0,208,361
35019,"Don Valley East/Don Valley-Est"," 92B","North York",10,42,127,6,1,186,324
35019,"Don Valley East/Don Valley-Est"," 93","North York",24,80,130,12,1,247,350
35019,"Don Valley East/Don Valley-Est"," 94","North York",13,119,188,6,1,327,493
35019,"Don Valley East/Don Valley-Est"," 95","North York",26,41,90,6,2,165,365
