Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Alexander,Stephanie Brown,Jeff Hill,Mark Holland,Bob Kesic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 40","Ajax",40,12,2,100,0,0,154,390
35001,"Ajax/Ajax"," 41","Ajax",35,11,1,93,1,0,141,339
35001,"Ajax/Ajax"," 42","Ajax",78,18,2,117,0,0,215,424
35001,"Ajax/Ajax"," 43","Ajax",50,15,3,127,0,1,196,370
35001,"Ajax/Ajax"," 44","Ajax",69,15,6,114,0,0,204,384
35001,"Ajax/Ajax"," 45","Ajax",49,19,2,160,0,0,230,538
35001,"Ajax/Ajax"," 46","Ajax",74,22,2,144,0,0,242,520
35001,"Ajax/Ajax"," 47","Ajax",71,29,6,106,0,0,212,399
35001,"Ajax/Ajax"," 48","Ajax",61,18,3,123,0,0,205,419
35001,"Ajax/Ajax"," 49","Ajax",64,14,5,169,0,0,252,527
35001,"Ajax/Ajax"," 50","Ajax",61,8,0,162,0,1,232,440
35001,"Ajax/Ajax"," 51","Ajax",81,7,0,127,0,5,220,430
35001,"Ajax/Ajax"," 52","Ajax",44,4,0,159,0,0,207,424
35001,"Ajax/Ajax"," 53","Ajax",52,12,3,153,0,0,220,414
35001,"Ajax/Ajax"," 54","Ajax",94,11,4,155,0,1,265,529
35001,"Ajax/Ajax"," 55","Ajax",73,15,2,157,0,1,248,525
35001,"Ajax/Ajax"," 56","Ajax",66,16,2,150,1,0,235,452
35001,"Ajax/Ajax"," 57","Ajax",57,9,0,118,0,0,184,368
35001,"Ajax/Ajax"," 58","Ajax",82,5,1,117,0,0,205,452
35001,"Ajax/Ajax"," 59","Ajax",84,17,2,141,0,0,244,512
35001,"Ajax/Ajax"," 60","Ajax",55,18,0,145,0,0,218,457
35001,"Ajax/Ajax"," 61","Ajax",53,9,0,153,0,0,215,509
35001,"Ajax/Ajax"," 62","Ajax",45,14,0,144,0,1,204,515
35001,"Ajax/Ajax"," 63","Ajax",59,18,5,133,1,1,217,486
35001,"Ajax/Ajax"," 64","Ajax",67,9,0,140,0,0,216,396
35001,"Ajax/Ajax"," 65","Ajax",48,25,3,159,0,1,236,488
35001,"Ajax/Ajax"," 66","Ajax",71,13,1,142,0,1,228,516
35001,"Ajax/Ajax"," 67","Ajax",56,14,2,119,1,1,193,497
35001,"Ajax/Ajax"," 68A","Ajax",74,23,2,124,1,0,224,437
35001,"Ajax/Ajax"," 68B","Ajax",45,14,1,102,0,1,163,365
35001,"Ajax/Ajax"," 69","Ajax",104,10,2,123,0,0,239,484
35001,"Ajax/Ajax"," 70","Ajax",92,12,3,122,0,0,229,441
