Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Aubin,Yvon Boivin,Maxime Rousseau,Dominic Therrien,Éric Trottier,André Valois,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 222","Trois-Rivières",69,72,1,35,0,35,2,214,412
24076,"Trois-Rivières/Trois-Rivières"," 223","Trois-Rivières",51,66,1,22,6,44,1,191,372
24076,"Trois-Rivières/Trois-Rivières"," 224","Trois-Rivières",56,80,0,32,1,36,6,211,463
24076,"Trois-Rivières/Trois-Rivières"," 225","Trois-Rivières",54,59,1,35,2,28,0,179,394
24076,"Trois-Rivières/Trois-Rivières"," 226","Trois-Rivières",68,47,2,31,4,46,1,199,430
24076,"Trois-Rivières/Trois-Rivières"," 400","Trois-Rivières",28,137,0,21,1,23,4,214,214
24076,"Trois-Rivières/Trois-Rivières"," 401","Trois-Rivières",27,48,2,20,0,23,3,123,161
24076,"Trois-Rivières/Trois-Rivières"," 402","Trois-Rivières",31,112,2,20,6,15,4,190,205
24076,"Trois-Rivières/Trois-Rivières"," 500","Mobile poll/Bureau itinérant",21,57,1,31,2,28,5,145,133
24076,"Trois-Rivières/Trois-Rivières"," 501","Mobile poll/Bureau itinérant",7,33,2,10,0,12,5,69,163
24076,"Trois-Rivières/Trois-Rivières"," 502","Mobile poll/Bureau itinérant",15,63,7,13,4,10,6,118,148
24076,"Trois-Rivières/Trois-Rivières"," 503","Mobile poll/Bureau itinérant",36,100,2,23,5,19,4,189,242
24076,"Trois-Rivières/Trois-Rivières"," 504","Mobile poll/Bureau itinérant",22,113,3,21,1,14,5,179,181
24076,"Trois-Rivières/Trois-Rivières"," 505","Mobile poll/Bureau itinérant",10,33,3,8,0,7,4,65,241
24076,"Trois-Rivières/Trois-Rivières"," 506","Mobile poll/Bureau itinérant",30,48,2,25,1,16,2,124,169
24076,"Trois-Rivières/Trois-Rivières"," 507","Mobile poll/Bureau itinérant",24,69,5,24,1,9,0,132,158
24076,"Trois-Rivières/Trois-Rivières"," 508","Mobile poll/Bureau itinérant",30,73,0,11,2,9,1,126,161
24076,"Trois-Rivières/Trois-Rivières"," 509","Mobile poll/Bureau itinérant",43,126,5,27,2,24,5,232,314
24076,"Trois-Rivières/Trois-Rivières"," 510","Mobile poll/Bureau itinérant",28,41,0,16,0,14,4,103,116
24076,"Trois-Rivières/Trois-Rivières"," 511","Mobile poll/Bureau itinérant",12,43,4,11,2,7,6,85,111
24076,"Trois-Rivières/Trois-Rivières"," 512","Mobile poll/Bureau itinérant",8,27,4,4,2,5,5,55,253
24076,"Trois-Rivières/Trois-Rivières"," 513","Mobile poll/Bureau itinérant",40,111,4,32,4,20,3,214,261
24076,"Trois-Rivières/Trois-Rivières"," 514","Mobile poll/Bureau itinérant",12,34,0,12,1,9,5,73,117
24076,"Trois-Rivières/Trois-Rivières"," 515","Mobile poll/Bureau itinérant",18,35,2,8,0,10,2,75,161
24076,"Trois-Rivières/Trois-Rivières"," 600","Trois-Rivières",358,303,2,237,13,139,15,1067,
24076,"Trois-Rivières/Trois-Rivières"," 601","Trois-Rivières",435,319,5,246,8,150,8,1171,
24076,"Trois-Rivières/Trois-Rivières"," 602","Trois-Rivières",503,356,3,229,15,181,15,1302,
24076,"Trois-Rivières/Trois-Rivières"," 603","Trois-Rivières",344,280,4,194,20,195,16,1053,
24076,"Trois-Rivières/Trois-Rivières"," 604","Trois-Rivières",455,381,6,324,13,188,14,1381,
24076,"Trois-Rivières/Trois-Rivières"," 605","Trois-Rivières",486,268,0,317,11,155,19,1256,
24076,"Trois-Rivières/Trois-Rivières"," 606","Trois-Rivières",347,259,6,233,14,186,12,1057,
24076,"Trois-Rivières/Trois-Rivières"," 607","Trois-Rivières",292,279,11,185,15,154,23,959,
24076,"Trois-Rivières/Trois-Rivières"," 608","Trois-Rivières",347,265,4,172,16,141,15,960,
24076,"Trois-Rivières/Trois-Rivières"," 609","Trois-Rivières",248,154,44,45,11,144,6,652,
24076,"Trois-Rivières/Trois-Rivières"," 610","Trois-Rivières",171,148,5,77,7,102,15,525,
24076,"Trois-Rivières/Trois-Rivières"," 611","Trois-Rivières",341,262,4,166,10,183,7,973,
24076,"Trois-Rivières/Trois-Rivières"," 612","Trois-Rivières",357,225,2,238,6,130,3,961,
24076,"Trois-Rivières/Trois-Rivières"," 613","Trois-Rivières",349,270,2,246,5,162,7,1041,
24076,"Trois-Rivières/Trois-Rivières"," 614","Trois-Rivières",504,362,10,273,21,212,18,1400,
24076,"Trois-Rivières/Trois-Rivières",,"Group 1/Groupe 1",36,91,6,52,3,16,14,218,124
24076,"Trois-Rivières/Trois-Rivières",,"Group 2/Groupe 2",564,310,6,369,22,298,22,1591,
