Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Deborah Chief,Donald L. Grant,Wayne James,Joanne Levy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 20","Eriksdale",110,18,3,6,29,0,166,401
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 21","Chatfield",78,27,6,6,32,0,149,264
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 22","Framnes",100,18,1,3,21,0,143,246
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 23","Arborg",160,19,1,3,58,0,241,475
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 24","Arborg",131,19,4,1,55,2,212,364
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 25","Geyser",67,31,0,2,36,0,136,211
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 26","Rembrandt",125,18,1,5,34,0,183,325
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27","Silver Harbour",168,28,1,8,78,2,285,461
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 28","Camp Morton",75,13,8,5,37,0,138,285
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 29","Silver Harbour",60,21,5,5,54,0,145,299
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 30","Silver Harbour",89,25,3,7,64,0,188,366
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 31","Hillside",98,27,3,4,88,0,220,472
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 32","Alexander--Belair",69,22,5,3,79,0,178,398
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 33","Grand Beach",106,34,5,6,86,0,237,377
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 34","Saint-Georges",128,26,7,4,70,2,237,416
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 35","Alexander",57,22,2,3,23,0,107,194
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 36","Pine Falls",42,23,1,4,58,2,130,268
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 37","Pine Falls",38,15,2,4,26,0,85,187
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 38","Powerview",Merged with No./Fusionné avec le n°39A,,,,,,,90
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 39A","Powerview--Pine Falls",54,20,3,10,67,1,155,238
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 39B","Powerview--Pine Falls",46,12,5,4,36,0,103,267
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 40","Great Falls",77,19,4,2,45,1,148,263
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 41A","Thalberg",122,14,6,6,38,0,186,301
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 41B","Thalberg",82,16,2,2,40,0,142,263
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 42","St. Clements--Beaconia",67,21,0,7,53,0,148,277
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 43","Brokenhead 4",7,109,4,1,44,0,165,381
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 44","Libau",85,31,3,10,51,0,180,276
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 45","Netley",105,26,2,6,41,0,180,345
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 46","Petersfield",95,17,3,4,69,1,189,327
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 47","Petersfield",96,21,2,6,51,0,176,310
