Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Kim Parke,Andrea Richardson-Lipon,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 110","Winnipeg",75,6,66,51,0,198,383
46005,"Elmwood--Transcona/Elmwood--Transcona"," 111","Winnipeg",68,7,58,52,1,186,345
46005,"Elmwood--Transcona/Elmwood--Transcona"," 112","Winnipeg",54,4,39,53,1,151,306
46005,"Elmwood--Transcona/Elmwood--Transcona"," 113","Winnipeg",73,4,69,74,0,220,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 114A","Winnipeg",50,5,78,105,2,240,498
46005,"Elmwood--Transcona/Elmwood--Transcona"," 114B","Winnipeg",54,1,96,68,0,219,499
46005,"Elmwood--Transcona/Elmwood--Transcona"," 115","Winnipeg",72,3,62,85,0,222,438
46005,"Elmwood--Transcona/Elmwood--Transcona"," 116","Winnipeg",80,5,79,67,0,231,442
46005,"Elmwood--Transcona/Elmwood--Transcona"," 117","Winnipeg",107,6,69,58,0,240,412
46005,"Elmwood--Transcona/Elmwood--Transcona"," 118","Winnipeg",74,8,69,83,2,236,449
46005,"Elmwood--Transcona/Elmwood--Transcona"," 119","Winnipeg",91,3,67,102,1,264,439
46005,"Elmwood--Transcona/Elmwood--Transcona"," 120A","Winnipeg",56,3,50,44,0,153,269
46005,"Elmwood--Transcona/Elmwood--Transcona"," 120B","Winnipeg",51,3,46,43,2,145,257
46005,"Elmwood--Transcona/Elmwood--Transcona"," 121","Winnipeg",94,12,90,61,3,260,433
46005,"Elmwood--Transcona/Elmwood--Transcona"," 122","Winnipeg",60,3,52,53,1,169,353
46005,"Elmwood--Transcona/Elmwood--Transcona"," 123","Winnipeg",77,2,87,72,0,238,430
46005,"Elmwood--Transcona/Elmwood--Transcona"," 124","Winnipeg",46,6,68,79,0,199,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 125","Winnipeg",64,4,53,54,0,175,392
46005,"Elmwood--Transcona/Elmwood--Transcona"," 126","Winnipeg",53,8,56,50,2,169,324
46005,"Elmwood--Transcona/Elmwood--Transcona"," 127","Winnipeg",68,6,64,65,0,203,385
46005,"Elmwood--Transcona/Elmwood--Transcona"," 128","Winnipeg",61,1,60,69,0,191,355
46005,"Elmwood--Transcona/Elmwood--Transcona"," 129","Winnipeg",60,3,52,63,0,178,353
46005,"Elmwood--Transcona/Elmwood--Transcona"," 130A","Winnipeg",49,3,55,58,0,165,310
46005,"Elmwood--Transcona/Elmwood--Transcona"," 130B","Winnipeg",47,5,52,55,0,159,299
46005,"Elmwood--Transcona/Elmwood--Transcona"," 131","Winnipeg",54,3,72,74,0,203,363
46005,"Elmwood--Transcona/Elmwood--Transcona"," 132","Winnipeg",71,5,86,62,0,224,403
46005,"Elmwood--Transcona/Elmwood--Transcona"," 133","Winnipeg",74,7,82,79,0,242,438
46005,"Elmwood--Transcona/Elmwood--Transcona"," 134","Winnipeg",102,2,51,72,3,230,449
46005,"Elmwood--Transcona/Elmwood--Transcona"," 135","Winnipeg",84,5,57,59,0,205,391
46005,"Elmwood--Transcona/Elmwood--Transcona"," 136","Winnipeg",71,11,70,65,0,217,443
