Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Burger,Bernadette Clement,Elaine Kennedy,Guy Lauzon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 508","Mobile poll/Bureau itinérant",2,17,0,41,0,60,101
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 509","Mobile poll/Bureau itinérant",5,25,2,65,4,101,181
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 510","Mobile poll/Bureau itinérant",5,22,2,18,2,49,89
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 600","South Glengarry",28,151,11,219,3,412,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 601","South Glengarry",49,252,16,300,2,619,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 602","South Glengarry",31,191,13,299,3,537,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 603","Cornwall",44,235,8,362,3,652,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 604","Cornwall",63,388,13,309,2,775,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 605","Cornwall",71,459,20,476,1,1027,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 606","Cornwall",78,400,17,431,5,931,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 607","Cornwall",83,425,10,484,5,1007,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 608","Cornwall",32,143,8,188,2,373,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 609","South Stormont",25,131,13,225,1,395,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 610","North Stormont",31,124,11,282,5,453,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 611","South Stormont",31,171,8,337,0,547,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 612","Gallingertown",64,188,17,392,2,663,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 613","North Stormont",34,148,5,269,3,459,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 614","Reids Mills",27,127,12,278,1,445,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 615","North Dundas",49,186,19,510,4,768,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 616","North Dundas",21,171,15,442,1,650,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 617","South Dundas",42,232,16,467,4,761,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 618","South Dundas",44,178,15,549,1,787,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",,"Group 1/Groupe 1",13,84,7,82,5,191,88
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",,"Group 2/Groupe 2",167,683,42,708,12,1612,
