date,Party,sd
2017-01-27,Liberal,2.0609010674941426
2017-01-28,Liberal,2.1060937407829203
2017-01-29,Liberal,2.1484709866697416
2017-01-30,Liberal,2.147259864563648
2017-01-31,Liberal,2.1353846652037327
2017-02-01,Liberal,2.0268468770489116
2017-02-02,Liberal,1.970330024952652
2017-02-03,Liberal,2.141286604377963
2017-02-04,Liberal,2.2336518227952973
2017-02-05,Liberal,2.3158246385559993
2017-02-06,Liberal,2.4918380967416303
2017-02-07,Liberal,2.6128378444935523
2017-02-08,Liberal,2.3789019572837806
2017-02-09,Liberal,2.260844581256059
2017-02-10,Liberal,2.1592402494911944
2017-02-11,Liberal,2.0640143093051377
2017-02-12,Liberal,1.9739886975754797
2017-02-13,Liberal,1.9864822376927773
2017-02-14,Liberal,1.9761443309642353
2017-02-15,Liberal,1.8015327703740414
2017-02-16,Liberal,1.6902686052489855
2017-02-17,Liberal,1.5865672987609976
2017-02-18,Liberal,1.513578067623833
2017-02-19,Liberal,1.443626504602321
2017-02-20,Liberal,1.5014120301588376
2017-02-21,Liberal,1.4942850793729505
2017-02-22,Liberal,1.4887500717383564
2017-02-23,Liberal,1.4658385160792382
2017-02-24,Liberal,1.4518472663417559
2017-02-25,Liberal,1.4690737508249583
2017-02-26,Liberal,1.4851494540234467
2017-02-27,Liberal,1.4872553605106966
2017-02-28,Liberal,1.5011217158225143
2017-03-01,Liberal,1.527029621337251
2017-03-02,Liberal,1.559028625865757
2017-03-03,Liberal,1.5892536322469755
2017-03-04,Liberal,1.6741163972394866
2017-03-05,Liberal,1.7353808981548013
2017-03-06,Liberal,1.7753531037050956
2017-03-07,Liberal,1.806442680520426
2017-03-08,Liberal,1.8351957335583524
2017-03-09,Liberal,1.8294737446099987
2017-03-10,Liberal,1.8474607779805907
2017-03-11,Liberal,1.8616374864786163
2017-03-12,Liberal,1.8772793881152736
2017-03-13,Liberal,1.900818175533844
2017-03-14,Liberal,1.9702602942412297
2017-03-15,Liberal,1.9574040980202487
2017-03-16,Liberal,1.9892969365433224
2017-03-17,Liberal,2.0242740216289548
2017-03-18,Liberal,2.056117024128478
2017-03-19,Liberal,2.0253098827091063
2017-03-20,Liberal,2.208328617238684
2017-03-21,Liberal,2.282627272205543
2017-03-22,Liberal,2.2338169781326696
2017-03-23,Liberal,2.24424668951479
