date,Party,sd
2016-07-09,Liberal,2.2970246821038565
2016-07-10,Liberal,2.085057264813287
2016-07-11,Liberal,2.191866835033539
2016-07-12,Liberal,2.1875538016672325
2016-07-13,Liberal,2.20275593034901
2016-07-14,Liberal,2.2129113919087993
2016-07-15,Liberal,2.2202453496308023
2016-07-16,Liberal,2.279227583072947
2016-07-17,Liberal,2.3383822697916488
2016-07-18,Liberal,2.398013392761141
2016-07-19,Liberal,2.4583027631319534
2016-07-20,Liberal,2.563928622805817
2016-07-21,Liberal,2.618032900213697
2016-07-22,Liberal,2.672721262957546
2016-07-23,Liberal,2.7280659075613154
2016-07-24,Liberal,2.784120718514354
2016-07-25,Liberal,2.796360116086759
2016-07-26,Liberal,2.808365270242362
2016-07-27,Liberal,2.8201840783712773
2016-07-28,Liberal,2.8318560257901924
2016-07-29,Liberal,2.8434140378511463
2016-07-30,Liberal,2.8932398674391107
2016-07-31,Liberal,2.9438169716495577
2016-08-01,Liberal,2.9951674398118806
2016-08-02,Liberal,3.0473116731331347
2016-08-03,Liberal,3.058062013376118
2016-08-04,Liberal,3.1115676837829858
2016-08-05,Liberal,3.168446145878998
2016-08-06,Liberal,3.2264511037280714
2016-08-07,Liberal,3.2848478061741915
2016-08-08,Liberal,3.385530329623465
2016-08-09,Liberal,3.405866143252453
2016-08-10,Liberal,3.4227245801862978
2016-08-11,Liberal,3.4383356077563483
2016-08-12,Liberal,3.475632340587359
2016-08-13,Liberal,3.522667029982472
2016-08-14,Liberal,3.5796806591100436
2016-08-15,Liberal,3.6469215006208513
2016-08-16,Liberal,3.7246715811186504
2016-08-17,Liberal,3.7910636634730546
2016-08-18,Liberal,3.8587518304763178
2016-08-19,Liberal,3.928098115505218
2016-08-20,Liberal,3.999443844884624
2016-08-21,Liberal,3.40953236343113
2016-08-22,Liberal,2.907468296257822
2016-08-23,Liberal,2.4129288271695803
2016-08-24,Liberal,1.918396382043581
2016-08-25,Liberal,1.4200362619201203
2016-08-26,Liberal,1.57887735073905
2016-08-27,Liberal,1.867498669653881
2016-08-28,Liberal,2.2311604984729883
2016-08-29,Liberal,2.586228757117314
2016-08-30,Liberal,2.932935083763739
2016-08-31,Liberal,3.272319260320619
2016-09-01,Liberal,3.3834089043803446
2016-09-02,Liberal,3.3990996800502686
2016-09-03,Liberal,3.4100364948219735
2016-09-04,Liberal,3.1710484411354765
2016-09-05,Liberal,3.03678654282441
2016-09-06,Liberal,2.9165927364558373
2016-09-07,Liberal,2.8056205072511644
2016-09-08,Liberal,2.7011017971140143
2016-09-09,Liberal,2.8497343068582452
2016-09-10,Liberal,2.896822861218239
2016-09-11,Liberal,2.931325247516331
2016-09-12,Liberal,2.95938708467986
2016-09-13,Liberal,2.983470966995296
2016-09-14,Liberal,2.8267695390438776
2016-09-15,Liberal,2.7804744246084576
2016-09-16,Liberal,2.744887125921808
2016-09-17,Liberal,2.714323124234709
2016-09-18,Liberal,2.592687356199459
